Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.7929194583,15.64546509,-9.636510773,4.473746796,18.91183037,0.0
0.8029014583,16.50452866,-9.034163361,4.689597931,19.3909232,0.0
0.8128844583,17.10672638,-7.994425507,5.054239655,19.54728281,0.0
0.8228664583,17.42975464,-6.640491028,5.802832947,19.5336975,0.0
0.8328484583,17.51073624,-5.127886505,6.538553009,19.38230582,0.0
0.8428304583,17.62599655,-3.539838867,7.065606995,19.31654772,0.0
0.8528124583,17.8324173,-2.440973969,7.457342377,19.48243865,0.0
0.8627944583,18.0632373,-1.653611298,7.214846649,19.52098831,0.0
0.8727774583,18.18957458,-0.8921447754,6.651867371,19.38824091,0.0
0.8827594583,18.01234314,-0.2025288391,5.869743805,18.94569649,0.0
0.892742,17.63048721,0.4067042542,4.929249573,18.31111654,0.0
0.902724,17.4833432,1.107397156,3.804638214,17.92676462,0.0
0.912706,16.76423859,2.261048126,2.067650299,17.04192512,0.0
0.922688,16.64703232,2.566562805,1.657802582,16.92510677,0.0
0.93267,16.46935181,2.829565887,0.526305542,16.71894104,0.0
0.942652,15.92179047,3.832630005,0.556842041,16.38604704,0.0
0.952635,16.21622818,4.527934113,0.8554710388,16.85823462,0.0
0.962617,16.70765625,4.90619751,-0.1986369324,17.41424727,0.0
0.972599,16.92919556,5.38355484,-0.5242098999,17.77231333,0.0
0.982581,16.80974396,5.660329285,-0.7301815796,17.75218253,0.0
0.992563,16.39555527,5.568869476,-0.6071374512,17.32614082,0.0
1.002545,15.51987625,5.517526245,-1.849553833,16.57499635,0.0
1.012527,13.93542114,5.517077179,-3.826792145,15.46862764,0.0
1.02251,11.53546188,4.649631042,-9.243278503,15.4959397,0.0
1.032492,8.647367706,3.698508911,-11.67661835,14.99331026,0.0
1.042474,9.074579315,3.118016052,-4.848717041,10.75081722,0.0
1.052456,10.1497934,0.8208929443,-3.347039795,10.71890137,0.0
1.062438,9.088949432,-1.079105988,-4.492158508,10.19573242,0.0
1.07242,7.132368164,-2.446063385,-4.319417725,8.689722158,0.0
1.082402,5.711971893,-2.910996552,-3.102598114,7.122263607,0.0
1.092385,5.614225159,-1.659449158,-1.504671021,6.044611693,0.0
1.102367,5.337151337,-2.751578064,-0.8463400269,6.064046312,0.0
1.112349,5.080135803,-3.069067841,-0.2218386841,5.939374512,0.0
1.122331,4.894372101,-2.509531403,-1.259331207,5.642565127,0.0
1.132313,4.81488739,-2.812950439,-1.303190002,5.72661636,0.0
1.142295,4.814288635,-2.122136993,-0.5858816528,5.29377916,0.0
1.152277,4.97984436,-1.521585846,-1.009500732,5.304070613,0.0
1.16226,5.446274414,-1.531914368,-2.168540497,6.058979659,0.0
1.172242,5.825735321,-3.02940033,-1.429976349,6.720215082,0.0
1.182224,5.573509827,-3.501368866,-0.7048841858,6.619702217,0.0
1.192206,4.821324005,-2.756817169,-1.596879272,5.778860569,0.0
1.202188,4.439617767,-3.382366333,-1.028660889,5.675275425,0.0
1.21217,5.297184448,-3.34180069,-0.833915863,6.318481668,0.0
1.222152,6.464906158,-2.095791779,-1.644180908,6.992187474,0.0
1.232134,7.611970825,-0.6715036011,-2.74499176,8.119605698,0.0
1.242117,8.471034393,0.6881190491,-4.859195251,9.789980082,0.0
1.252099,9.583221588,2.407743073,-6.674769745,11.92425737,0.0
1.262081,9.792935486,3.087928619,-7.204667816,12.54368873,0.0
1.272063,9.9878302,2.346370697,-6.182144165,11.97836024,0.0
1.282045,11.08519821,0.9928852844,-4.414320374,11.97303909,0.0
1.292027,13.23068665,-0.93256073,-3.32069458,13.67288379,0.0
1.302009,15.4290152,-2.637664948,-3.84610199,16.11844555,0.0
1.311991,16.56859543,-1.505419464,-4.251009979,17.17136361,0.0
1.321974,18.03704178,0.1667532349,-6.039790192,19.02213837,0.0
1.331956,19.45234863,-0.7671546936,-10.09859985,21.93089402,0.0
1.341938,19.73780502,-2.143243103,-12.92277695,23.68908192,0.0
1.35192,18.50945938,-3.145708466,-13.01423676,22.84438501,0.0
1.361902,17.20641907,-4.080364838,-8.762328644,19.73546649,0.0
1.371884,16.29436569,-5.403762817,-4.002676392,17.62749058,0.0
1.381866,15.33066971,-7.162455597,-1.428928528,16.98152056,0.0
1.391848,13.85204453,-8.638236694,-0.6261479187,16.33677851,0.0
1.401831,11.72646469,-8.743617554,-1.283431091,14.68359688,0.0
1.411813,9.491312714,-7.525750122,-1.664239197,12.22667674,0.0
1.421795,7.507039032,-5.710774384,-0.7909552002,9.46542071,0.0
1.431777,5.846242676,-4.419858856,0.159717865,7.330703618,0.0
1.441759,4.481081543,-3.826792145,0.5947132874,5.922677925,0.0
1.451741,3.226390686,-3.8764888,0.4134402466,5.060404639,0.0
1.461723,1.833387451,-4.649032288,0.5400769043,5.026578739,0.0
1.471705,1.11982132,-6.515950012,2.014959869,6.911705117,0.0
1.481688,0.6265969849,-8.093070374,3.197949829,8.724522621,0.0
1.49167,-0.2469863892,-8.888516235,3.483106842,9.549803999,0.0
1.501652,-0.4812492371,-8.912316742,3.011287994,9.419599032,0.0
1.511634,0.4131408691,-8.734935608,2.091450806,8.991326483,0.0
1.521616,1.708097992,-8.713081055,1.09871521,8.946650509,0.0
1.531598,3.945794678,-7.936795349,1.028062134,8.922943898,0.0
1.54158,6.251000977,-7.086563416,1.129401398,9.516824143,0.0
1.551562,8.220006409,-5.994883575,0.6249504089,10.193022,0.0
1.561545,9.516161041,-4.955594788,0.0260458374,10.72920869,0.0
1.571527,10.84988754,-4.473597107,-0.3176394653,11.74027366,0.0
1.581509,12.12104416,-4.480782166,-0.5029541016,12.93252037,0.0
1.591491,10.96305222,-6.383176117,-0.6861730957,12.7044986,0.0
1.601473,10.72384964,-7.022496643,-1.115480347,12.86703954,0.0
1.611455,12.50095413,-6.006559296,-1.614841919,13.96281931,0.0
1.621437,12.18765564,-5.444328461,-0.2863545227,13.35146663,0.0
1.631419,11.57662628,-4.086801453,-0.7740403748,12.30119347,0.0
1.641402,9.883497162,-2.937491455,-1.360520782,10.40016293,0.0
1.651384,8.649762726,-2.408192139,-1.156644745,9.05293387,0.0
1.661366,8.676856384,-2.556234283,-0.562230835,9.063016823,0.0
1.671348,8.066874847,-3.35347641,-0.1110690308,8.736853562,0.0
1.68133,6.955885162,-3.320245514,-0.3150947571,7.714120389,0.0
