"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.831164583E-1,5.741011505E0,-2.240840149E0,3.343746643E0,7.011506207E0
6.930984583E-1,6.315965881E0,-3.433260498E0,3.329077148E0,7.922212906E0
7.030804583E-1,6.917265472E0,-4.716392212E0,3.585942993E0,9.107793600E0
7.130624583E-1,7.472760315E0,-5.182373199E0,3.503464508E0,9.745429814E0
7.230444583E-1,8.126151581E0,-5.647605743E0,3.451672211E0,1.048064078E1
7.330264583E-1,8.630901947E0,-6.245013428E0,3.803889771E0,1.131203954E1
7.430094583E-1,9.410929871E0,-6.981332245E0,4.088298340E0,1.241043046E1
7.529914583E-1,1.052057236E1,-7.857759705E0,4.153862000E0,1.377248706E1
7.629734583E-1,1.182136734E1,-8.762927399E0,4.367767181E0,1.534962581E1
7.729554583E-1,1.316123108E1,-9.377100220E0,4.478536835E0,1.676917721E1
7.829374583E-1,1.450034637E1,-9.720486145E0,4.378844147E0,1.799783798E1
7.929194583E-1,1.564546509E1,-9.636510773E0,4.473746796E0,1.891183037E1
8.029014583E-1,1.650452866E1,-9.034163361E0,4.689597931E0,1.939092320E1
8.128844583E-1,1.710672638E1,-7.994425507E0,5.054239655E0,1.954728281E1
8.228664583E-1,1.742975464E1,-6.640491028E0,5.802832947E0,1.953369750E1
8.328484583E-1,1.751073624E1,-5.127886505E0,6.538553009E0,1.938230582E1
8.428304583E-1,1.762599655E1,-3.539838867E0,7.065606995E0,1.931654772E1
8.528124583E-1,1.783241730E1,-2.440973969E0,7.457342377E0,1.948243865E1
8.627944583E-1,1.806323730E1,-1.653611298E0,7.214846649E0,1.952098831E1
8.727774583E-1,1.818957458E1,-8.921447754E-1,6.651867371E0,1.938824091E1
8.827594583E-1,1.801234314E1,-2.025288391E-1,5.869743805E0,1.894569649E1
8.927420000E-1,1.763048721E1,4.067042542E-1,4.929249573E0,1.831111654E1
9.027240000E-1,1.748334320E1,1.107397156E0,3.804638214E0,1.792676462E1
9.127060000E-1,1.676423859E1,2.261048126E0,2.067650299E0,1.704192512E1
9.226880000E-1,1.664703232E1,2.566562805E0,1.657802582E0,1.692510677E1
9.326700000E-1,1.646935181E1,2.829565887E0,5.263055420E-1,1.671894104E1
9.426520000E-1,1.592179047E1,3.832630005E0,5.568420410E-1,1.638604704E1
9.526350000E-1,1.621622818E1,4.527934113E0,8.554710388E-1,1.685823462E1
9.626170000E-1,1.670765625E1,4.906197510E0,-1.986369324E-1,1.741424727E1
9.725990000E-1,1.692919556E1,5.383554840E0,-5.242098999E-1,1.777231333E1
9.825810000E-1,1.680974396E1,5.660329285E0,-7.301815796E-1,1.775218253E1
9.925630000E-1,1.639555527E1,5.568869476E0,-6.071374512E-1,1.732614082E1
1.002545000E0,1.551987625E1,5.517526245E0,-1.849553833E0,1.657499635E1
1.012527000E0,1.393542114E1,5.517077179E0,-3.826792145E0,1.546862764E1
1.022510000E0,1.153546188E1,4.649631042E0,-9.243278503E0,1.549593970E1
1.032492000E0,8.647367706E0,3.698508911E0,-1.167661835E1,1.499331026E1
1.042474000E0,9.074579315E0,3.118016052E0,-4.848717041E0,1.075081722E1
1.052456000E0,1.014979340E1,8.208929443E-1,-3.347039795E0,1.071890137E1
1.062438000E0,9.088949432E0,-1.079105988E0,-4.492158508E0,1.019573242E1
1.072420000E0,7.132368164E0,-2.446063385E0,-4.319417725E0,8.689722158E0
1.082402000E0,5.711971893E0,-2.910996552E0,-3.102598114E0,7.122263607E0
1.092385000E0,5.614225159E0,-1.659449158E0,-1.504671021E0,6.044611693E0
1.102367000E0,5.337151337E0,-2.751578064E0,-8.463400269E-1,6.064046312E0
1.112349000E0,5.080135803E0,-3.069067841E0,-2.218386841E-1,5.939374512E0
1.122331000E0,4.894372101E0,-2.509531403E0,-1.259331207E0,5.642565127E0
1.132313000E0,4.814887390E0,-2.812950439E0,-1.303190002E0,5.726616360E0
1.142295000E0,4.814288635E0,-2.122136993E0,-5.858816528E-1,5.293779160E0
1.152277000E0,4.979844360E0,-1.521585846E0,-1.009500732E0,5.304070613E0
1.162260000E0,5.446274414E0,-1.531914368E0,-2.168540497E0,6.058979659E0
1.172242000E0,5.825735321E0,-3.029400330E0,-1.429976349E0,6.720215082E0
1.182224000E0,5.573509827E0,-3.501368866E0,-7.048841858E-1,6.619702217E0
1.192206000E0,4.821324005E0,-2.756817169E0,-1.596879272E0,5.778860569E0
1.202188000E0,4.439617767E0,-3.382366333E0,-1.028660889E0,5.675275425E0
1.212170000E0,5.297184448E0,-3.341800690E0,-8.339158630E-1,6.318481668E0
1.222152000E0,6.464906158E0,-2.095791779E0,-1.644180908E0,6.992187474E0
1.232134000E0,7.611970825E0,-6.715036011E-1,-2.744991760E0,8.119605698E0
1.242117000E0,8.471034393E0,6.881190491E-1,-4.859195251E0,9.789980082E0
1.252099000E0,9.583221588E0,2.407743073E0,-6.674769745E0,1.192425737E1
1.262081000E0,9.792935486E0,3.087928619E0,-7.204667816E0,1.254368873E1
1.272063000E0,9.987830200E0,2.346370697E0,-6.182144165E0,1.197836024E1
1.282045000E0,1.108519821E1,9.928852844E-1,-4.414320374E0,1.197303909E1
1.292027000E0,1.323068665E1,-9.325607300E-1,-3.320694580E0,1.367288379E1
1.302009000E0,1.542901520E1,-2.637664948E0,-3.846101990E0,1.611844555E1
1.311991000E0,1.656859543E1,-1.505419464E0,-4.251009979E0,1.717136361E1
1.321974000E0,1.803704178E1,1.667532349E-1,-6.039790192E0,1.902213837E1
1.331956000E0,1.945234863E1,-7.671546936E-1,-1.009859985E1,2.193089402E1
1.341938000E0,1.973780502E1,-2.143243103E0,-1.292277695E1,2.368908192E1
1.351920000E0,1.850945938E1,-3.145708466E0,-1.301423676E1,2.284438501E1
1.361902000E0,1.720641907E1,-4.080364838E0,-8.762328644E0,1.973546649E1
1.371884000E0,1.629436569E1,-5.403762817E0,-4.002676392E0,1.762749058E1
1.381866000E0,1.533066971E1,-7.162455597E0,-1.428928528E0,1.698152056E1
1.391848000E0,1.385204453E1,-8.638236694E0,-6.261479187E-1,1.633677851E1
1.401831000E0,1.172646469E1,-8.743617554E0,-1.283431091E0,1.468359688E1
1.411813000E0,9.491312714E0,-7.525750122E0,-1.664239197E0,1.222667674E1
1.421795000E0,7.507039032E0,-5.710774384E0,-7.909552002E-1,9.465420710E0
1.431777000E0,5.846242676E0,-4.419858856E0,1.597178650E-1,7.330703618E0
1.441759000E0,4.481081543E0,-3.826792145E0,5.947132874E-1,5.922677925E0
1.451741000E0,3.226390686E0,-3.876488800E0,4.134402466E-1,5.060404639E0
1.461723000E0,1.833387451E0,-4.649032288E0,5.400769043E-1,5.026578739E0
1.471705000E0,1.119821320E0,-6.515950012E0,2.014959869E0,6.911705117E0
1.481688000E0,6.265969849E-1,-8.093070374E0,3.197949829E0,8.724522621E0
1.491670000E0,-2.469863892E-1,-8.888516235E0,3.483106842E0,9.549803999E0
1.501652000E0,-4.812492371E-1,-8.912316742E0,3.011287994E0,9.419599032E0
1.511634000E0,4.131408691E-1,-8.734935608E0,2.091450806E0,8.991326483E0
1.521616000E0,1.708097992E0,-8.713081055E0,1.098715210E0,8.946650509E0
1.531598000E0,3.945794678E0,-7.936795349E0,1.028062134E0,8.922943898E0
1.541580000E0,6.251000977E0,-7.086563416E0,1.129401398E0,9.516824143E0
1.551562000E0,8.220006409E0,-5.994883575E0,6.249504089E-1,1.019302200E1
1.561545000E0,9.516161041E0,-4.955594788E0,2.604583740E-2,1.072920869E1
1.571527000E0,1.084988754E1,-4.473597107E0,-3.176394653E-1,1.174027366E1
1.581509000E0,1.212104416E1,-4.480782166E0,-5.029541016E-1,1.293252037E1
1.591491000E0,1.096305222E1,-6.383176117E0,-6.861730957E-1,1.270449860E1
1.601473000E0,1.072384964E1,-7.022496643E0,-1.115480347E0,1.286703954E1
1.611455000E0,1.250095413E1,-6.006559296E0,-1.614841919E0,1.396281931E1
1.621437000E0,1.218765564E1,-5.444328461E0,-2.863545227E-1,1.335146663E1
1.631419000E0,1.157662628E1,-4.086801453E0,-7.740403748E-1,1.230119347E1
1.641402000E0,9.883497162E0,-2.937491455E0,-1.360520782E0,1.040016293E1
1.651384000E0,8.649762726E0,-2.408192139E0,-1.156644745E0,9.052933870E0
1.661366000E0,8.676856384E0,-2.556234283E0,-5.622308350E-1,9.063016823E0
1.671348000E0,8.066874847E0,-3.353476410E0,-1.110690308E-1,8.736853562E0
1.681330000E0,6.955885162E0,-3.320245514E0,-3.150947571E-1,7.714120389E0
1.691312000E0,5.661975861E0,-3.141217804E0,1.571731567E-1,6.476876048E0
1.701294000E0,6.553521881E0,-3.038980408E0,1.003662872E0,7.293242772E0
1.711276000E0,7.021448822E0,-3.610192566E0,7.209008789E-1,7.928047174E0
1.721258000E0,7.138505402E0,-3.807781677E0,3.824546814E-1,8.099613093E0
1.731241000E0,7.494914246E0,-3.561693420E0,2.550695801E-1,8.302075648E0
1.741223000E0,8.311915283E0,-3.903732147E0,3.320095825E-1,9.188976587E0
1.751205000E0,1.083641556E1,-6.555617523E0,1.063238983E0,1.270962235E1
1.761187000E0,9.468260651E0,-8.447533264E0,2.760260010E0,1.298567724E1
1.771169000E0,8.397836609E0,-7.045399017E0,1.974843292E0,1.113828142E1
1.781151000E0,8.115673370E0,-5.325924683E0,1.570833435E0,9.833470682E0
1.791133000E0,8.366401978E0,-5.081632690E0,7.571255493E-1,9.817989201E0
1.801115000E0,7.344926147E0,-4.178410950E0,1.410816193E0,8.567231788E0
1.811097000E0,6.052813110E0,-2.747237091E0,2.344125366E-1,6.651226009E0
1.821080000E0,6.701863403E0,-2.057770844E0,-1.040037231E0,7.087388191E0
1.831062000E0,7.764653320E0,-1.138831787E0,3.989204407E-1,7.857856994E0
