Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
5.699542208,3.325783997,-2.469863892,7.371121674,8.455442127,1.0,0.0
5.709520208,3.137774963,-2.251318359,6.987469482,7.983658049,1.0,0.0
5.719498208,2.77073822,-1.650467834,6.527026978,7.280323861,1.0,0.0
5.729476208,2.93809021,-1.67322052,6.120921478,6.992690522,1.0,0.0
5.739454208,2.982098694,-1.589544525,5.760920105,6.678904467,1.0,0.0
5.749432208,3.016078033,-1.395997009,5.473817139,6.403765175,1.0,0.0
5.759410208,3.230132904,-1.526675262,5.238955536,6.341226304,1.0,0.0
5.769388208,3.43415863,-1.700763245,4.968468018,6.274688483,1.0,0.0
5.779366208,3.499123535,-1.723815308,4.873565369,6.24235886,1.0,0.0
5.789344208,3.611240387,-1.795366516,4.736899567,6.221142625,1.0,0.0
5.799321208,3.745211792,-1.8592836,4.523742828,6.160178248,1.0,0.0
5.809299208,3.829935608,-1.868264923,4.495900726,6.194509175,1.0,0.0
5.819277208,3.971840515,-1.916165314,4.43348053,6.253235658,1.0,0.0
5.829255208,4.216282196,-2.086062012,4.50248703,6.511611147,1.0,0.0
5.839233208,4.493505707,-2.342029724,4.848267975,7.013016407,1.0,0.0
5.849211208,4.739144897,-2.227966919,4.773273926,7.085723317,1.0,0.0
5.859189208,4.923561401,-2.730921021,5.342839508,7.761785909,1.0,0.0
5.869167208,5.126239929,-2.750530243,5.563330994,8.049497138,1.0,0.0
5.879145208,5.195994873,-2.896626434,5.869594116,8.357089356,1.0,0.0
5.889123208,5.157524872,-2.992127838,6.213578796,8.611704434,1.0,0.0
5.899101208,5.077740784,-2.974464569,6.553072815,8.807590718,1.0,0.0
5.909079208,4.863985291,-2.876717834,6.721173248,8.78111771,1.0,0.0
5.919057208,4.663103027,-2.791544952,6.903045044,8.785743221,1.0,0.0
5.929035208,4.498146057,-2.759361877,7.050189056,8.806393226,1.0,0.0
5.939012208,4.395459595,-2.788551178,7.116650848,8.817187875,1.0,0.0
5.948990208,4.360133057,-2.921624451,7.233707428,8.937179245,1.0,0.0
5.958968208,4.50488205,-3.184777222,7.263495483,9.121136709,1.0,0.0
5.968946208,4.737498322,-3.593427429,7.354356537,9.457439987,1.0,0.0
5.978924208,5.087769928,-4.058210907,7.627089386,10.02631393,1.0,0.0
5.988902208,5.617069244,-4.597389679,7.903564453,10.73097339,1.0,0.0
5.998880208,6.651418304,-5.321733398,8.333470459,11.91675047,1.0,0.0
6.008858208,8.159232788,-6.278094635,8.861871643,13.58382571,1.0,0.0
6.018836208,9.572444,-7.106172638,9.33728302,15.14312477,1.0,0.0
6.028814208,10.76037369,-8.092471619,9.942773895,16.737159,1.0,0.0
6.038792208,11.54818542,-8.408614197,10.71456894,17.8568577,1.0,0.0
6.048770208,11.82615738,-8.295748901,11.62138321,18.54006461,1.0,0.0
6.058748208,11.60461807,-7.969277802,12.2346579,18.65109657,1.0,0.0
6.068725208,10.85108505,-7.29313385,12.49257156,18.08314664,1.0,0.0
6.078703208,9.584419098,-6.217919769,12.41054214,16.8684668,1.0,0.0
6.088681208,8.134085083,-5.092559967,11.6228801,15.07278504,1.0,0.0
6.098659208,6.904541931,-4.359983368,10.69855225,13.45886973,1.0,0.0
6.108637208,5.995931396,-3.721111908,9.796378326,12.07339619,1.0,0.0
6.118615208,5.20692215,-3.475921783,8.715775452,10.7312074,1.0,0.0
6.128593208,4.498744812,-2.449057159,7.750133514,9.289841513,1.0,0.0
6.138571208,4.043990479,-2.157313843,6.960974579,8.334448338,1.0,0.0
6.148549208,4.052971802,-2.188898163,6.25414444,7.767379112,1.0,0.0
6.158527208,3.564836884,-1.196461945,5.416785736,6.594023878,1.0,0.0
6.168505208,3.611090698,-1.477277985,5.067861328,6.395744266,1.0,0.0
6.178483208,3.859124908,-1.611848145,4.818330231,6.38021988,1.0,0.0
6.188461208,3.72904541,-1.524130554,4.890779572,6.336282698,1.0,0.0
6.198439208,3.797453156,-1.544188843,4.883744202,6.376215733,1.0,0.0
6.208416208,3.845802612,-1.810934143,4.704716492,6.340665381,1.0,0.0
6.218394208,3.834575958,-1.810335388,4.358187103,6.080713924,1.0,0.0
6.228372208,3.946543121,-1.876946869,4.06599472,5.969124326,1.0,0.0
6.238350208,4.148622894,-2.033072205,3.804189148,5.984672888,1.0,0.0
6.248328208,4.271217957,-2.224524078,3.72320755,6.087206639,1.0,0.0
6.258306208,4.48257843,-2.370919647,3.725003815,6.292092083,1.0,0.0
6.268284208,4.669988708,-2.531984711,3.801345062,6.532225149,1.0,0.0
6.278262208,4.830005951,-2.700085144,3.911965027,6.7766428,1.0,0.0
6.288240208,4.875062256,-2.818189545,4.08365799,6.955910212,1.0,0.0
6.298218208,4.817881165,-2.851869507,4.189487915,6.992635239,1.0,0.0
6.308196208,4.692741394,-2.861449585,4.261637878,6.954945933,1.0,0.0
6.318174208,4.497996368,-2.866988068,4.418661346,6.926482513,1.0,0.0
6.328152208,4.324806519,-2.892734528,4.681664429,6.999274698,1.0,0.0
6.338130208,4.276756439,-3.032992859,4.950505371,7.210908039,1.0,0.0
6.348108208,4.265829163,-3.178939362,5.322481842,7.525408086,1.0,0.0
6.358085208,4.36447403,-3.271746368,5.895639954,8.031906892,1.0,0.0
6.368063208,4.570894775,-3.374732208,6.351292419,8.52178455,1.0,0.0
6.378041208,4.711302795,-3.467239838,6.71159317,8.903011232,1.0,0.0
6.388019208,4.829706573,-3.629801788,7.086413727,9.312292205,1.0,0.0
6.397997208,5.041067047,-3.802392883,7.335495758,9.678845315,1.0,0.0
6.407975208,5.49701889,-4.223616943,7.306306458,10.07165681,1.0,0.0
6.417953208,6.028563538,-4.709656219,7.244934082,10.53629488,1.0,0.0
6.427931208,6.566694489,-5.168601837,7.332202606,11.11742401,1.0,0.0
6.437909208,7.185956726,-5.428760834,7.35166214,11.62567652,1.0,0.0
6.447887208,7.979456635,-5.725593567,7.367379456,12.27731363,1.0,0.0
6.457865208,9.69533844,-6.288722534,7.807314606,13.94638949,1.0,0.0
6.467843208,12.37282059,-6.913223877,7.703131256,16.1312611,1.0,0.0
6.477821208,15.47242493,-7.610174561,6.703360291,18.49988457,1.0,0.0
6.487798208,16.77741119,-7.851622467,6.019731903,19.47733744,1.0,0.0
6.497776208,15.76177322,-7.929759979,6.290518799,18.73193037,1.0,0.0
6.507754208,14.60767319,-8.057743835,7.543263702,18.30880059,1.0,0.0
6.517732208,14.05696838,-8.458161163,8.906179504,18.66705343,1.0,0.0
6.527710208,13.32214645,-8.402476959,9.261690216,18.27183928,1.0,0.0
6.537688208,11.68036057,-7.526947632,9.250313873,16.69293474,1.0,0.0
6.547666208,10.04336472,-6.293662262,9.047485657,14.91094753,1.0,0.0
6.557644208,8.650211792,-5.278922424,8.50306778,13.22858071,1.0,0.0
6.567622208,7.207661591,-4.606071625,7.543413391,11.40479579,1.0,0.0
6.577600208,6.052513733,-3.862118683,6.65426239,9.789182354,1.0,0.0
6.587578208,5.132526855,-3.085832977,6.013295288,8.486749514,1.0,0.0
6.597556208,4.393962708,-2.438878326,5.307213593,7.309004849,1.0,0.0
6.607534208,3.900438995,-1.989213409,4.631668396,6.373597609,1.0,0.0
6.617512208,3.583847351,-1.731000366,4.154760132,5.753464683,1.0,0.0
6.627489208,3.486100616,-1.60885437,3.762575684,5.375712573,1.0,0.0
6.637467208,3.47053299,-1.641037445,3.357967072,5.100347633,1.0,0.0
6.647445208,3.523822174,-1.749412079,3.140918427,5.03419645,1.0,0.0
6.657423208,3.631448364,-1.815125427,2.952909393,5.020136594,1.0,0.0
6.667401208,3.840713196,-1.887125702,2.858904877,5.146421899,1.0,0.0
6.677376167,4.149970093,-2.068548431,2.679577789,5.355490782,1.0,0.0
6.687354167,4.543352051,-2.26059906,2.424807587,5.624237531,1.0,0.0
6.697332167,4.891827393,-2.371967468,2.292782135,5.900258878,1.0,0.0
6.707310167,5.207969971,-2.468666382,2.256407776,6.189397464,1.0,0.0
6.717288167,5.505551147,-2.597099304,2.166145477,6.461285047,1.0,0.0
6.727266167,5.71706131,-2.775677948,2.166594543,6.714410622,1.0,0.0
6.737244167,5.817053375,-2.854264526,2.395618286,6.908250352,1.0,0.0
6.747222167,5.831124115,-2.871927795,2.671793976,7.02769242,1.0,0.0
6.757199167,5.860313416,-2.915636902,3.071612549,7.230422914,1.0,0.0
6.767177167,5.855972443,-2.971321106,3.558400269,7.468826871,1.0,0.0
6.777155167,5.759872284,-2.963237915,3.96660141,7.595448269,1.0,0.0
6.787133167,5.667065277,-2.96847702,4.436474304,7.785228894,1.0,0.0
