"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711304873901787E9,"2024-03-24 14:27:53.902 UTC-04:00"
"PAUSE",3.014896802082658E2,1.711305175395239E9,"2024-03-24 14:32:55.395 UTC-04:00"
