"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.668385835E-1,-5.413193207E0,2.578238525E0,6.998995514E0,9.216068185E0
6.768755829E-1,-5.700894928E0,2.264341278E0,6.455326080E0,8.904980584E0
6.869135834E-1,-5.713768158E0,1.788031769E0,6.394402771E0,8.759714092E0
6.969505828E-1,-5.291945343E0,1.411714325E0,6.389612732E0,8.415745583E0
7.069885833E-1,-4.449796600E0,1.275198212E0,6.372548218E0,7.876305673E0
7.170255827E-1,-3.400927734E0,1.326691132E0,6.338269501E0,7.314374825E0
7.270635832E-1,-2.560874634E0,1.369352417E0,6.344257050E0,6.977306245E0
7.371005835E-1,-1.816322937E0,1.451381836E0,6.524482269E0,6.926355978E0
7.471385831E-1,-9.512718201E-1,1.440155182E0,6.929240570E0,7.140962113E0
7.571755834E-1,-2.085163879E-1,1.465452576E0,7.427554321E0,7.573611657E0
7.672135830E-1,4.538562012E-1,1.726360016E0,7.984695740E0,8.181788949E0
7.772515835E-1,1.678160248E0,2.201621704E0,9.027277679E0,9.442197956E0
7.872885829E-1,3.366948395E0,3.369493103E0,1.058149567E1,1.160421802E1
7.973265834E-1,4.953349457E0,5.035079498E0,1.174742111E1,1.370728271E1
8.073635828E-1,6.063441010E0,6.432723083E0,1.174113419E1,1.469692060E1
8.174015833E-1,6.812034302E0,7.170987854E0,1.087174210E1,1.469767513E1
8.274385827E-1,7.292684784E0,7.270530853E0,9.814490662E0,1.422561412E1
8.374765832E-1,7.303911438E0,7.024741974E0,9.035660248E0,1.357708651E1
8.475135835E-1,6.916966095E0,6.592740326E0,8.695717163E0,1.291991261E1
8.575515831E-1,6.225853271E0,6.150110779E0,8.703201599E0,1.234223763E1
8.675885834E-1,5.296735382E0,5.677842865E0,8.825646973E0,1.175522649E1
8.776265830E-1,4.542304230E0,5.162015533E0,8.878187714E0,1.122947680E1
8.876635833E-1,4.139042816E0,4.788841553E0,8.954678650E0,1.096589935E1
8.977015829E-1,4.011208649E0,4.589306488E0,9.175319824E0,1.101535395E1
9.077395834E-1,4.209396515E0,4.668940887E0,9.738448792E0,1.159117824E1
9.177765828E-1,4.497247925E0,4.861440582E0,1.053748718E1,1.244578160E1
9.278145833E-1,5.043911133E0,4.911286926E0,1.094943054E1,1.301736563E1
9.378515827E-1,5.609584808E0,4.750072174E0,1.083716400E1,1.309483681E1
9.478895832E-1,5.798042908E0,4.802313538E0,1.106394241E1,1.338246385E1
