"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.405092083E-1,1.375190277E0,8.815168762E-1,9.538913727E0,9.677762933E0
7.504872083E-1,1.048868866E0,7.894583130E-1,9.142238617E0,9.236010895E0
7.604652083E-1,8.321195984E-1,1.012943573E0,8.560248871E0,8.660042635E0
7.704432083E-1,7.267387390E-1,1.468446350E0,8.033194885E0,8.198579386E0
7.804212083E-1,8.542735291E-1,1.857337646E0,7.813751221E0,8.076768818E0
7.903992083E-1,1.267115021E0,1.891017609E0,7.270231476E0,7.618253985E0
8.003772083E-1,1.490001526E0,1.613195343E0,6.959926758E0,7.298156222E0
8.103552083E-1,1.819466400E0,1.157842255E0,7.114704895E0,7.434385140E0
8.203322083E-1,2.439776459E0,7.364685059E-1,7.341333618E0,7.771105090E0
8.303102083E-1,2.530487823E0,9.419911194E-1,7.568710785E0,8.035925512E0
8.402882083E-1,2.547103271E0,1.496288452E0,8.158933411E0,8.677258127E0
8.502662083E-1,3.222349091E0,1.658101959E0,8.946296082E0,9.652411582E0
8.602442083E-1,4.243525543E0,1.253792725E0,9.178912354E0,1.018979574E1
8.702222083E-1,5.224884796E0,9.295669556E-1,9.496701508E0,1.087891793E1
8.802002083E-1,5.638325043E0,1.083147583E0,1.025517426E1,1.175297907E1
8.901782083E-1,5.822442169E0,1.546583862E0,1.071382050E1,1.229140773E1
9.001562083E-1,6.192023621E0,1.845512238E0,1.145268402E1,1.314956437E1
9.101342083E-1,6.693331146E0,1.835932159E0,1.262639328E1,1.440823154E1
9.201122083E-1,7.458090820E0,1.663490753E0,1.359443024E1,1.559483420E1
9.300902083E-1,8.601862335E0,1.389410706E0,1.444047089E1,1.686563658E1
9.400682083E-1,9.534722443E0,9.096583557E-1,1.491064316E1,1.772189859E1
9.500462083E-1,1.019380188E1,7.584727478E-1,1.506661880E1,1.820691846E1
9.600242083E-1,1.019649628E1,5.228627014E-1,1.466275864E1,1.786724412E1
9.700012083E-1,9.944420471E0,6.993457031E-1,1.412058609E1,1.728500895E1
9.799792083E-1,9.486372986E0,1.037642212E0,1.343471237E1,1.647906157E1
9.899572083E-1,8.829389191E0,1.085093536E0,1.233045868E1,1.520446489E1
9.999352083E-1,8.159532166E0,1.095721436E0,1.116273697E1,1.387030163E1
1.009913208E0,7.608827362E0,9.388476562E-1,1.006267456E1,1.265041928E1
1.019891208E0,7.264543304E0,6.912625122E-1,9.169182587E0,1.171858962E1
1.029869208E0,6.444698181E0,4.784051514E-1,8.945397949E0,1.103554034E1
1.039847208E0,5.609435120E0,6.667135620E-1,7.541317749E0,9.422406419E0
1.049825208E0,4.724774780E0,1.293310547E0,6.127058716E0,7.844552084E0
1.059803208E0,3.673061829E0,1.769919434E0,5.183271332E0,6.594717560E0
1.069781208E0,2.758314056E0,2.219883728E0,4.328848114E0,5.592415059E0
1.079759208E0,2.772235107E0,2.181862793E0,4.400249634E0,5.639859003E0
1.089737208E0,3.371289368E0,1.343905334E0,4.637955322E0,5.889168288E0
1.099715208E0,3.367996216E0,9.584568787E-1,3.313359833E0,4.820828920E0
1.109693208E0,2.765349426E0,1.242416382E0,2.742746429E0,4.088204238E0
1.119670208E0,2.224224701E0,1.690584412E0,2.708168335E0,3.890941647E0
1.129648208E0,2.108215942E0,1.922003174E0,2.892734528E0,4.062829520E0
1.139626208E0,1.927990723E0,1.715432739E0,1.789079590E0,3.140169341E0
1.149604208E0,1.442550201E0,1.837728424E0,9.264234924E-1,2.513256320E0
1.159582208E0,1.333576813E0,2.106269989E0,1.863774261E0,3.112628291E0
1.169560208E0,1.351240082E0,1.902244263E0,1.799408112E0,2.946566230E0
1.179538208E0,1.091679840E0,1.939217377E0,1.714684296E0,2.809354221E0
1.189516208E0,1.008003845E0,1.814227295E0,1.911375275E0,2.821497452E0
1.199494208E0,9.142987061E-1,1.678759003E0,2.183958435E0,2.902386666E0
1.209472208E0,1.043330383E0,1.594035187E0,2.406695251E0,3.069473652E0
1.219450208E0,1.265917511E0,1.235979767E0,2.571203156E0,3.121102176E0
1.229428208E0,1.696571960E0,8.449928284E-1,3.239413605E0,3.753154646E0
1.239406208E0,2.859204254E0,1.333726501E-1,4.054618378E0,4.963140882E0
1.249384208E0,4.037853241E0,-5.477110291E-1,4.896168365E0,6.369985151E0
1.259362208E0,5.609584808E0,-1.302591248E0,6.165379028E0,8.436591980E0
1.269340208E0,7.423213348E0,-2.368225250E0,8.074958038E0,1.122129826E1
1.279318208E0,9.967921600E0,-3.857029266E0,1.103610031E1,1.536332145E1
1.289295208E0,1.309551773E1,-5.301076355E0,1.522798325E1,2.077222831E1
1.299273208E0,1.602492599E1,-6.539151764E0,1.901181473E1,2.571007309E1
1.309251208E0,1.847308502E1,-7.637417908E0,2.131342850E1,2.922066489E1
1.319229208E0,2.053355026E1,-8.803493042E0,2.191802124E1,3.129740934E1
1.329207208E0,2.153182434E1,-8.873098297E0,2.165397034E1,3.180009063E1
1.339185208E0,2.070868607E1,-8.295599213E0,1.993973511E1,2.992089038E1
1.349163208E0,1.901959854E1,-7.483238525E0,1.791025543E1,2.717574722E1
1.359141208E0,1.692695023E1,-6.872807922E0,1.588870926E1,2.421173712E1
1.369119208E0,1.464599350E1,-6.476432190E0,1.420905212E1,2.140902758E1
1.379097208E0,1.236548584E1,-5.917494507E0,1.308878174E1,1.895357984E1
1.389075208E0,1.024155258E1,-5.289999390E0,1.231040039E1,1.686473986E1
1.399053208E0,8.482261047E0,-4.624183960E0,1.137349869E1,1.492274446E1
1.409031208E0,7.057523804E0,-3.911216583E0,1.023825943E1,1.303565164E1
1.419009208E0,5.885910187E0,-3.047213287E0,8.962163086E0,1.114674009E1
1.428987208E0,4.946763153E0,-2.169288940E0,7.343578949E0,9.116163227E0
1.438964208E0,4.202959900E0,-1.571881256E0,5.910159760E0,7.420624703E0
1.448942208E0,3.605701904E0,-1.059796143E0,4.789140930E0,6.087702763E0
1.458920208E0,3.145708466E0,-5.873785400E-1,3.715124359E0,4.903329920E0
1.468898208E0,2.733914795E0,-2.974314880E-1,2.843786316E0,3.955992443E0
1.478876208E0,2.553539886E0,-4.535568237E-2,2.078727264E0,3.292981951E0
1.488854208E0,2.421514435E0,1.284329224E-1,1.388662262E0,2.794389030E0
1.498832208E0,2.332449646E0,3.502716064E-1,7.750881958E-1,2.482694758E0
1.508810208E0,2.352358246E0,6.219566345E-1,2.591111755E-1,2.446948707E0
1.518788208E0,1.779050446E0,1.030457153E0,-2.026785278E-1,2.065899566E0
1.528766208E0,1.229992218E0,1.475631409E0,-6.991960144E-1,2.044319930E0
1.538744208E0,1.083446960E0,1.589694214E0,-3.960763550E-1,1.964143958E0
1.548722208E0,1.062490540E0,1.678908691E0,-3.977229309E-1,2.026278379E0
1.558700208E0,1.045126648E0,1.802252197E0,-3.894900513E-1,2.119458703E0
1.568678208E0,9.803114319E-1,1.739981689E0,-1.911524963E-1,2.006261713E0
1.578656208E0,8.819659424E-1,1.727557526E0,-3.906875610E-2,1.940063219E0
