"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711313805216568E9,"2024-03-24 16:56:45.217 UTC-04:00"
"PAUSE",3.011931532500312E2,1.711314106412829E9,"2024-03-24 17:01:46.413 UTC-04:00"
