Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label,window
225.6805205,-1.750609589,0.7216493225,-0.7939489746,2.053233219,1.0,0.0
225.6904615,-1.655856628,1.281335449,-1.71303772,2.705213473,1.0,0.0
225.7004025,-1.81482605,1.816772003,-2.693947906,3.721775037,1.0,0.0
225.7103435,-2.539768524,2.686613159,-3.688629456,5.222480415,1.0,0.0
225.7202845,-3.822002106,4.173471222,-4.326303406,7.123374432,1.0,0.0
225.7302245,-5.241051178,6.329288177,-4.392316132,9.317775876,1.0,0.0
225.7401655,-5.614374847,8.706794128,-4.210144958,11.18278988,1.0,0.0
225.7501065,-3.425326996,10.94823303,-4.480632477,12.31554867,1.0,0.0
225.7600475,1.836381226,14.44451248,-4.768633575,15.32175261,1.0,0.0
225.7699885,9.971813507,19.12153656,-4.456682281,22.02117713,1.0,0.0
225.7799285,21.25609772,22.80822006,-5.012925568,31.57793558,1.0,0.0
225.7898695,31.38957504,24.40300369,-7.606582031,40.48051508,1.0,0.0
225.7998105,37.32533157,24.12039139,-11.44909149,45.89177872,1.0,0.0
225.8097515,39.32202942,22.12728607,-14.6419519,47.43654227,1.0,0.0
225.8196925,38.5101178,18.80359772,-16.70121964,45.99494752,1.0,0.0
225.8296325,36.14503601,15.53709045,-17.47346375,43.04865553,1.0,0.0
225.8395732,32.40835648,12.85721329,-16.78729065,38.69654546,1.0,0.0
225.8495142,27.61951492,11.04104004,-14.40768906,33.05032033,1.0,0.0
225.8594552,22.15527786,9.313183136,-10.55275543,26.2479021,1.0,0.0
225.8693962,16.90404785,6.788383484,-6.237379303,19.25445104,1.0,0.0
225.8793362,12.11490692,3.970942383,-2.460134125,12.98428331,1.0,0.0
225.8892772,7.938292236,1.925595703,0.4593946838,8.181408553,1.0,0.0
225.8992182,4.630770264,0.6126759338,2.339634705,5.224298574,1.0,0.0
225.9091592,2.417622528,-0.4155358887,3.054697723,3.917747688,1.0,0.0
225.9191002,1.027164001,-1.203497314,2.740201721,3.16420245,1.0,0.0
225.9290402,0.0889151001,-1.631906433,1.864672394,2.479521655,1.0,0.0
225.9389812,-0.7658074951,-1.717528381,0.8689430237,2.071575931,1.0,0.0
225.9489222,-1.379980316,-1.530118103,-0.006885681152,2.060498603,1.0,0.0
225.9588632,-1.60062149,-1.204694824,-0.6105802917,2.094298706,1.0,0.0
225.9688042,-1.506317596,-0.8198451233,-0.9258247375,1.948920258,1.0,0.0
225.9787442,-1.224004669,-0.4770579529,-1.046623535,1.6796406,1.0,0.0
225.9886852,-0.8156538391,-0.1582209778,-0.9993218994,1.299603525,1.0,0.0
225.9986262,-0.5785469055,0.09385482788,-0.724044342,0.9315392959,1.0,0.0
226.0085672,-0.7717950439,0.08008346558,-0.1871109009,0.7981800803,1.0,0.0
226.0185082,-1.319356384,-0.2736309814,0.4114942932,1.408865762,1.0,0.0
226.0284482,-2.206112366,-0.697250061,0.4309538269,2.353467786,1.0,0.0
226.0383892,-3.032543793,-1.039887543,0.1752854919,3.21067173,1.0,0.0
226.0483302,-3.808979187,-1.188229065,-0.04026626587,3.990217053,1.0,0.0
226.0582712,-4.478387146,-1.274898834,-0.4728666687,4.680269368,1.0,0.0
226.0682122,-5.198240204,-1.465302887,-1.229842529,5.539072703,1.0,0.0
226.0781522,-5.655539246,-1.7995578,-1.968556366,6.252899056,1.0,0.0
226.0880932,-5.498815155,-2.151925049,-2.36238739,6.359923247,1.0,0.0
226.0980342,-5.868097229,-2.248324585,-2.198927307,6.657688024,1.0,0.0
226.1079752,-6.348298645,-2.058668976,-1.998643799,6.966605391,1.0,0.0
226.1179162,-7.295678558,-1.710043945,-2.106868744,7.783962476,1.0,0.0
226.1278562,-8.388106842,-0.9211843872,-2.559377747,8.81812517,1.0,0.0
226.1377972,-8.834927673,0.6912625122,-3.047362976,9.371243886,1.0,0.0
226.1477382,-6.367309113,2.848875732,-2.80232254,7.51742841,1.0,0.0
226.1576792,-0.2103126526,5.911656647,-1.902992706,6.213959845,1.0,0.0
226.1676202,10.25906616,10.20697449,0.04580474854,14.47179549,1.0,0.0
226.1775602,25.32688248,15.84754486,2.395917664,29.9722551,1.0,0.0
226.1875012,40.24875229,20.34344559,3.303330688,45.21868898,1.0,0.0
226.1974422,49.60564453,22.38684631,0.1255888367,54.42340149,1.0,0.0
226.2073832,50.99535461,22.76286438,-6.425538025,56.21353686,1.0,0.0
226.2173242,45.24581085,21.56370804,-12.69944138,51.70544183,1.0,0.0
226.2272642,37.24884064,19.01151535,-15.71177719,44.67408407,1.0,0.0
226.2372052,29.86304947,15.73857147,-15.15493515,37.00238391,1.0,0.0
226.2471462,23.47298767,12.79494278,-12.07119781,29.33266997,1.0,0.0
226.2570872,17.82867508,10.53838531,-7.822582855,22.13847381,1.0,0.0
226.2670282,12.97531769,8.668623505,-4.08829834,16.13127664,1.0,0.0
226.2769692,9.097481689,7.195536804,-1.454824677,11.69001445,1.0,0.0
226.2869092,6.158643036,5.92887085,0.2969824219,8.553864165,1.0,0.0
226.2968502,4.018543396,4.701573029,1.629511414,6.395997765,1.0,0.0
226.3067912,2.3834935,3.509601746,2.673290863,5.014462056,1.0,0.0
226.3167322,1.359323273,2.748733978,2.811004486,4.159933228,1.0,0.0
226.3266722,0.6994953918,2.263742523,2.22781723,3.252229024,1.0,0.0
226.3366132,-0.7631130981,2.177671509,1.093775482,2.553613049,1.0,0.0
226.3465542,-2.536325684,2.0079245,-0.03113525391,3.235070041,1.0,0.0
226.3564952,-3.693569183,1.194216614,-0.9804611206,4.003737085,1.0,0.0
226.3664362,-4.574786682,-0.720302124,0.1272354126,4.632892961,1.0,0.0
226.3763762,-6.0025177,-3.889811096,3.403472443,7.921140939,1.0,0.0
226.3863172,-6.594386902,-3.67291214,4.195774841,8.636014632,1.0,0.0
226.3962582,-6.40039032,-2.074685669,4.201612701,7.93239347,1.0,0.0
226.4061992,-5.464686127,-0.909508667,2.770289154,6.193908498,1.0,0.0
226.4161402,-4.585713959,-1.165925446,1.066681824,4.85035718,1.0,0.0
226.4260812,-5.266947327,-2.980302429,0.382155304,6.063743018,1.0,0.0
226.4360212,-5.738017731,-2.761906586,-0.6854246521,6.404902998,1.0,0.0
226.4459622,-4.107757874,-2.315085754,-0.9328601074,4.80661261,1.0,0.0
226.4559032,-2.158361664,-1.901944885,-0.6409671021,2.947330698,1.0,0.0
226.4658442,-0.9036708069,-1.31980545,-0.2600093079,1.620528369,1.0,0.0
226.4757852,6.095474396,0.336051178,-2.572101288,6.624457981,1.0,0.0
226.4857252,52.56409241,12.96543823,-26.61480423,60.32772334,1.0,0.0
226.4956662,5.023852844,10.9738298,-4.212240601,12.78307509,1.0,0.0
226.5056072,-12.56307495,3.286116486,5.484744415,14.09651854,1.0,0.0
226.5155482,-4.607568512,-0.07873626709,2.760858765,5.371985491,1.0,0.0
226.5254892,6.388115845,-0.7185058594,7.354057159,9.767621585,1.0,0.0
226.5354292,15.29609161,1.778451691,10.37103333,18.56587303,1.0,0.0
226.5453702,11.74038574,5.28296402,11.85863983,17.50353407,1.0,0.0
226.5553112,9.398056641,8.421188049,10.63957489,16.50576962,1.0,0.0
226.5652522,9.360035706,9.333241425,10.54227722,16.90737333,1.0,0.0
226.5751932,9.690398712,7.080426178,12.23316101,17.13728363,1.0,0.0
226.5851332,14.72368195,6.746021576,12.84089722,20.66843629,1.0,0.0
226.5950742,18.35063965,10.59945831,3.560346222,21.48884728,1.0,0.0
226.6050152,19.59799576,10.14829651,4.281247101,22.4810684,1.0,0.0
226.6149562,23.66548737,5.608986053,9.22381897,26.01143697,1.0,0.0
226.6248972,21.29187332,5.348377991,20.51633606,30.04777965,1.0,0.0
226.6348372,18.03045547,8.424481201,32.13846771,37.80145917,1.0,0.0
226.6447782,21.28843048,8.82250351,13.98332153,26.95490904,1.0,0.0
226.6547192,16.24167526,8.938661957,8.95587616,20.58881761,1.0,0.0
226.6646602,16.35678589,7.929011536,9.347910919,20.44008579,1.0,0.0
226.6746012,15.22259445,7.468419342,12.33000961,20.96506156,1.0,0.0
