"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711310852904984E9,"2024-03-24 16:07:32.905 UTC-04:00"
"PAUSE",2.559081761666748E2,1.711311108809364E9,"2024-03-24 16:11:48.809 UTC-04:00"
"START",2.559081761666748E2,1.711311124823098E9,"2024-03-24 16:12:04.823 UTC-04:00"
"PAUSE",3.063593297083571E2,1.711311175272615E9,"2024-03-24 16:12:55.273 UTC-04:00"
