"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.464863336E-1,-5.314248962E0,1.393601990E-1,1.601923782E1,1.687828912E1
6.565233339E-1,-5.113815765E0,5.022056580E-1,1.510733414E1,1.595728257E1
6.665603332E-1,-3.625610504E0,9.407936096E-1,1.392299698E1,1.441804387E1
6.765973335E-1,-2.361938324E0,1.224603424E0,1.337783066E1,1.363982255E1
6.866343338E-1,-1.849254456E0,1.698368225E0,1.363828903E1,1.386748443E1
6.966713332E-1,-1.708696747E0,2.074086914E0,1.427745987E1,1.452815685E1
7.067083335E-1,-1.640289001E0,2.429148560E0,1.482756592E1,1.511449707E1
7.167453337E-1,-1.670825500E0,2.876568146E0,1.519894363E1,1.555873355E1
7.267833333E-1,-1.689237213E0,3.276386719E0,1.510987885E1,1.555302771E1
7.368203336E-1,-1.520987091E0,3.550766144E0,1.454570206E1,1.504987675E1
7.468573330E-1,-1.618284760E0,3.594774628E0,1.366313736E1,1.422049833E1
7.568943333E-1,-1.908231812E0,3.436254272E0,1.268552032E1,1.328049766E1
7.669313336E-1,-2.432292023E0,3.214864655E0,1.186268143E1,1.252895087E1
7.769683329E-1,-2.821482697E0,3.183280334E0,1.115210907E1,1.193581061E1
7.870053332E-1,-3.000510406E0,3.269501038E0,1.049856812E1,1.139792228E1
7.970423335E-1,-3.057841187E0,3.172802124E0,9.894274750E0,1.083114670E1
8.070793338E-1,-3.020119629E0,2.899171143E0,9.513915710E0,1.039427285E1
8.171173334E-1,-2.939886475E0,2.606230316E0,9.322463837E0,1.011650636E1
8.271543337E-1,-2.864143982E0,2.211201782E0,9.129814453E0,9.820704966E0
8.371913331E-1,-2.771037598E0,1.756597137E0,9.099128265E0,9.672560057E0
8.472283334E-1,-2.706970825E0,1.288819885E0,9.094936981E0,9.576357681E0
8.572653336E-1,-2.810405731E0,8.652008057E-1,9.176667023E0,9.636294436E0
8.673023330E-1,-2.921025696E0,5.513035583E-1,9.272916870E0,9.737726326E0
8.773393333E-1,-2.888842621E0,2.386038208E-1,9.267528076E0,9.710273946E0
8.873763336E-1,-2.674638062E0,6.197113037E-2,9.261390839E0,9.640066880E0
8.974133329E-1,-2.480940857E0,8.981323242E-3,9.215586090E0,9.543698192E0
9.074513335E-1,-2.310894470E0,2.799179077E-2,9.168583832E0,9.455366004E0
9.174883338E-1,-2.158361664E0,1.082249451E-1,9.180259552E0,9.431193093E0
9.275253331E-1,-2.091001740E0,2.412982178E-1,9.197922821E0,9.435692732E0
9.375623334E-1,-2.156715088E0,2.969824219E-1,9.139993286E0,9.395695600E0
9.475993337E-1,-2.230212250E0,3.261717224E-1,9.107959900E0,9.382705804E0
9.576363331E-1,-2.298320618E0,2.163002014E-1,9.140142975E0,9.427156360E0
9.676733334E-1,-2.155367889E0,1.010398865E-1,9.041647797E0,9.295548111E0
9.777103337E-1,-1.836680603E0,1.669029236E-1,8.811276855E0,9.002213730E0
9.877473330E-1,-1.635199585E0,1.890568542E-1,8.774004364E0,8.927080864E0
9.977843333E-1,-1.663191376E0,6.316864014E-2,9.180858307E0,9.330506689E0
1.007822334E0,-1.937121735E0,-9.984237671E-2,9.553433533E0,9.748358907E0
1.017859333E0,-2.323019257E0,-3.095562744E-1,9.733059998E0,1.001122872E1
1.027896333E0,-2.531835022E0,-5.173242188E-1,9.704319763E0,1.004249147E1
1.037933334E0,-2.474953308E0,-7.327262878E-1,9.613159332E0,9.953648278E0
1.047970333E0,-2.254461823E0,-9.141490173E-1,9.466015320E0,9.773623308E0
1.058007333E0,-1.918560333E0,-1.132694550E0,9.182804260E0,9.449220326E0
1.068044334E0,-1.547182617E0,-1.216071167E0,8.810827789E0,9.027917228E0
1.078081333E0,-1.109941864E0,-1.240320740E0,8.463400269E0,8.625515091E0
1.088118333E0,-7.084767151E-1,-1.200054474E0,8.251590729E0,8.368441883E0
1.098156333E0,-4.254153442E-1,-1.159788208E0,8.274493103E0,8.366201230E0
1.108193333E0,-2.439926147E-1,-1.170266418E0,8.498427429E0,8.582093256E0
1.118230334E0,-2.356100464E-1,-1.123413849E0,8.780440979E0,8.855151865E0
1.128267334E0,-3.580554199E-1,-1.073268127E0,9.113199005E0,9.183164175E0
1.138304333E0,-4.727169800E-1,-9.249266052E-1,9.478888550E0,9.535632056E0
1.148341333E0,-5.285508728E-1,-6.997947693E-1,9.679321747E0,9.718968475E0
1.158378334E0,-4.939727783E-1,-5.712121582E-1,9.699829102E0,9.729181725E0
1.168415333E0,-4.941224670E-1,-5.269042969E-1,9.671388245E0,9.698326440E0
1.178452333E0,-5.939648438E-1,-4.646337891E-1,9.652826843E0,9.682238629E0
1.188490333E0,-6.670129395E-1,-4.421804810E-1,9.571545868E0,9.604942485E0
1.198527333E0,-6.831793213E-1,-4.894821167E-1,9.514963531E0,9.552008047E0
1.208564334E0,-6.786886597E-1,-5.875282288E-1,9.492959290E0,9.535307221E0
1.218601333E0,-6.864724731E-1,-6.698570251E-1,9.421857147E0,9.470551462E0
1.228638333E0,-6.843768311E-1,-7.304809570E-1,9.365424500E0,9.418765850E0
1.238675334E0,-7.207511902E-1,-7.851173401E-1,9.346114655E0,9.406686486E0
1.248712334E0,-8.746311951E-1,-8.270301819E-1,9.442065125E0,9.518484778E0
1.258749333E0,-1.041085052E0,-8.628057861E-1,9.488468628E0,9.584327249E0
1.268786334E0,-1.190324707E0,-9.394464111E-1,9.483379211E0,9.603848902E0
1.278823334E0,-1.326242065E0,-9.740245056E-1,9.475296021E0,9.617113727E0
1.288861333E0,-1.433868256E0,-9.948312378E-1,9.456435242E0,9.616123691E0
1.298898334E0,-1.522184601E0,-1.088686066E0,9.476194153E0,9.659220410E0
1.308935333E0,-1.593735809E0,-1.212927704E0,9.492510223E0,9.701491524E0
1.318972333E0,-1.595382385E0,-1.310225372E0,9.497449951E0,9.719233049E0
1.329009334E0,-1.544338531E0,-1.346450043E0,9.519753571E0,9.737741897E0
1.339046333E0,-1.438508606E0,-1.358275452E0,9.552086334E0,9.754823040E0
1.349083333E0,-1.398392029E0,-1.308429108E0,9.542955322E0,9.733215465E0
1.359120334E0,-1.502874756E0,-1.187031555E0,9.532327423E0,9.722805282E0
1.369157334E0,-1.512155457E0,-1.055904236E0,9.550140381E0,9.726599055E0
1.379195333E0,-1.438658295E0,-9.749226379E-1,9.528136139E0,9.685328602E0
1.389232334E0,-1.380130005E0,-1.060993652E0,9.742340698E0,9.896649364E0
1.399269333E0,-1.340312805E0,-1.264720001E0,1.007405090E1,1.024121363E1
1.409306333E0,-1.408570862E0,-1.473835144E0,1.054347473E1,1.073876722E1
1.419343334E0,-1.608704681E0,-1.683399353E0,1.114956436E1,1.139010753E1
1.429380333E0,-1.906884613E0,-1.895807648E0,1.172317154E1,1.202759521E1
1.439417709E0,-2.216141510E0,-2.141596527E0,1.216086136E1,1.254528867E1
1.449454708E0,-2.308798828E0,-2.264191589E0,1.208422073E1,1.250941671E1
1.459491708E0,-2.303559723E0,-2.473306732E0,1.179876434E1,1.227332366E1
1.469529709E0,-2.387235718E0,-2.986439667E0,1.177616135E1,1.238126376E1
1.479566708E0,-2.429597626E0,-3.527714081E0,1.183453995E1,1.258586696E1
1.489603708E0,-2.340981903E0,-3.789968719E0,1.172541687E1,1.254310408E1
1.499640709E0,-2.254162445E0,-3.606749725E0,1.144490021E1,1.220965326E1
1.509677708E0,-2.123633881E0,-3.065924377E0,1.095407089E1,1.157157648E1
1.519714708E0,-1.919608154E0,-2.289039917E0,1.048644333E1,1.090367337E1
1.529751709E0,-1.619482269E0,-1.531465302E0,1.014455429E1,1.038653410E1
1.539788708E0,-1.290915527E0,-8.825646973E-1,9.950258331E0,1.007238920E1
1.549825708E0,-1.097817078E0,-4.439767456E-1,9.861193542E0,9.932041873E0
1.559862709E0,-1.098116455E0,-4.134402466E-1,9.761051788E0,9.831323644E0
1.569900708E0,-1.216520233E0,-5.556445312E-1,9.641899567E0,9.734212324E0
1.579937709E0,-1.402283936E0,-8.313711548E-1,9.399403839E0,9.539725927E0
1.589974709E0,-1.565294952E0,-1.247056732E0,9.039552155E0,9.258444898E0
1.600011708E0,-1.695524139E0,-1.613494720E0,8.566835175E0,8.880812588E0
1.610048709E0,-1.931882629E0,-1.803749084E0,8.117319946E0,8.536777165E0
1.620085709E0,-2.177671509E0,-1.884281616E0,7.827672272E0,8.340576935E0
1.630122708E0,-2.264490967E0,-1.801204376E0,7.780520325E0,8.301129626E0
1.640159708E0,-2.254461823E0,-1.621577911E0,7.862998810E0,8.338996541E0
1.650196709E0,-2.113604736E0,-1.361269226E0,8.115224304E0,8.495719181E0
1.660234708E0,-1.889670410E0,-1.180894318E0,8.562494202E0,8.847693067E0
1.670271709E0,-1.770967255E0,-1.107247467E0,8.975635071E0,9.215440678E0
1.680308708E0,-1.798509979E0,-1.038989410E0,9.273216248E0,9.502982517E0
1.690345708E0,-1.906884613E0,-9.785151672E-1,9.439071350E0,9.679347541E0
1.700382709E0,-2.052082672E0,-9.713301086E-1,9.542955322E0,9.809307914E0
1.710419709E0,-2.169438629E0,-1.055904236E0,9.606722717E0,9.905075421E0
1.720456708E0,-2.191143494E0,-1.110690308E0,9.617500305E0,9.926281020E0
1.730493709E0,-2.089205475E0,-1.235381012E0,9.498647461E0,9.803838501E0
1.740530709E0,-2.050735474E0,-1.350192261E0,9.538015594E0,9.848973378E0
1.750567708E0,-1.991758118E0,-1.437460785E0,9.658215637E0,9.965667223E0
1.760605709E0,-1.901795197E0,-1.426084442E0,9.719288635E0,1.000575401E1
1.770642708E0,-1.835483093E0,-1.331181793E0,9.824669495E0,1.008291495E1
1.780679708E0,-1.800306244E0,-1.294957123E0,9.953401794E0,1.019746164E1
1.790716709E0,-1.767374725E0,-1.268013153E0,1.002435425E1,1.025763856E1
1.800753708E0,-1.833836517E0,-1.226250000E0,9.987680511E0,1.022841177E1
1.810790708E0,-1.979333954E0,-1.188528442E0,9.926457825E0,1.019141441E1
1.820827709E0,-2.124082947E0,-1.183738403E0,9.864636383E0,1.015992204E1
1.830864708E0,-2.308798828E0,-1.161734161E0,9.715845795E0,1.005374745E1
1.840901708E0,-2.509531403E0,-1.104104004E0,9.534572754E0,9.920930960E0
1.850939709E0,-2.706970825E0,-1.115180969E0,9.359436951E0,9.806649768E0
1.860976708E0,-2.903362427E0,-1.202150116E0,9.213490448E0,9.734633250E0
1.871013708E0,-2.996917877E0,-1.295705566E0,8.986113281E0,9.560889163E0
1.881050709E0,-2.957100677E0,-1.333576813E0,8.690478058E0,9.276167334E0
1.891087708E0,-2.671045532E0,-1.401535492E0,8.565188599E0,9.080817237E0
1.901124708E0,-2.463427277E0,-1.415606232E0,8.656798096E0,9.111123324E0
1.911161709E0,-2.418520660E0,-1.270258484E0,8.833131409E0,9.245918520E0
1.921198708E0,-2.334694977E0,-1.046773224E0,9.021290131E0,9.377110986E0
1.931235708E0,-2.204016724E0,-8.294252014E-1,9.177265778E0,9.474589333E0
1.941273709E0,-2.127974854E0,-7.188052368E-1,9.464368744E0,9.727241832E0
1.951310708E0,-1.990859985E0,-6.084846497E-1,9.738149414E0,9.958179104E0
1.961347708E0,-1.843566284E0,-4.858895874E-1,9.875563660E0,1.005791146E1
1.971384709E0,-1.789828033E0,-4.251159668E-1,9.834399261E0,1.000497960E1
1.981421708E0,-1.870659943E0,-4.631369019E-1,9.803264008E0,9.990888330E0
1.991458708E0,-1.888622589E0,-5.789959717E-1,9.667795715E0,9.867543038E0
2.001495709E0,-1.908531189E0,-6.976991272E-1,9.515262909E0,9.729825466E0
2.011532708E0,-1.928888855E0,-8.650511169E-1,9.441915436E0,9.675675312E0
2.021569708E0,-1.918410645E0,-9.315129089E-1,9.491612091E0,9.728243202E0
2.031606709E0,-1.825004883E0,-9.286688232E-1,9.434880066E0,9.654534192E0
2.041644708E0,-1.749412079E0,-9.580078125E-1,9.383387146E0,9.593027464E0
2.051681709E0,-1.703757019E0,-9.861492920E-1,9.443711700E0,9.646707681E0
2.061718709E0,-1.707948303E0,-9.695338440E-1,9.453740845E0,9.655583837E0
2.071755708E0,-1.741179199E0,-8.663983154E-1,9.556576996E0,9.752461993E0
2.081792708E0,-1.794618073E0,-7.533833313E-1,9.769434357E0,9.961430024E0
2.091829709E0,-1.865121460E0,-6.460565186E-1,9.998009033E0,1.019098875E1
2.101866708E0,-1.936073914E0,-5.701643372E-1,1.009216324E1,1.029199827E1
2.111903708E0,-2.068698120E0,-6.080355835E-1,1.007464966E1,1.030280471E1
2.121940709E0,-2.165846100E0,-6.298901367E-1,1.000220032E1,1.025337321E1
2.131977708E0,-2.078577576E0,-6.840774536E-1,9.899663544E0,1.013862836E1
2.142015709E0,-1.871707764E0,-8.789721680E-1,9.761351166E0,9.977968661E0
2.152052708E0,-1.704804840E0,-1.062490540E0,9.745783539E0,9.950655379E0
2.162089708E0,-1.702858887E0,-1.093027039E0,9.934840393E0,1.013881108E1
2.172126709E0,-1.809586945E0,-1.076860657E0,1.018018021E1,1.039568674E1
2.182163709E0,-2.077230377E0,-1.359772339E0,1.071741302E1,1.100121851E1
2.192200708E0,-2.711461487E0,-2.136656799E0,1.166599045E1,1.216604532E1
2.202237708E0,-3.430865479E0,-3.050656128E0,1.241398499E1,1.323572302E1
2.212274709E0,-4.292473755E0,-3.788471832E0,1.266291733E1,1.389702576E1
2.222311708E0,-5.276228027E0,-3.951333160E0,1.264615219E1,1.426102315E1
2.232349709E0,-5.888305206E0,-3.424428864E0,1.232851273E1,1.408513675E1
2.242386708E0,-5.803581390E0,-2.621947632E0,1.192076065E1,1.351520258E1
2.252423708E0,-4.995262299E0,-1.658401337E0,1.182690582E1,1.294521695E1
2.262460709E0,-3.634442139E0,-7.414082336E-1,1.205413330E1,1.261193821E1
2.272497708E0,-2.024240570E0,-1.983375549E-1,1.247760269E1,1.264228842E1
2.282534708E0,-6.908134460E-1,-3.562591553E-2,1.287293060E1,1.289150242E1
2.292571709E0,1.630110168E-1,-7.304809570E-2,1.280167877E1,1.280292498E1
2.302608709E0,4.827461243E-1,-2.091151428E-1,1.202793777E1,1.203943770E1
2.312645708E0,4.474195862E-1,-5.677693176E-1,1.070409073E1,1.072847168E1
2.322682709E0,2.489323425E-1,-1.084943848E0,9.412277069E0,9.477870546E0
2.332720708E0,1.728904724E-1,-1.579066315E0,8.210576019E0,8.362828475E0
2.342757708E0,2.743794250E-1,-1.843117218E0,6.926995239E0,7.173257851E0
2.352794709E0,3.385958862E-1,-2.021845551E0,5.732778625E0,6.088288542E0
2.362831708E0,3.617976379E-1,-2.144290924E0,4.867428131E0,5.331110364E0
2.372868708E0,9.385482788E-2,-2.029779053E0,4.368365936E0,4.817824476E0
2.382905709E0,-4.153862000E-1,-1.630858612E0,4.232598267E0,4.554902150E0
2.392942708E0,-8.253836060E-1,-1.120869141E0,4.438420258E0,4.651578239E0
2.402979708E0,-9.728269958E-1,-5.659730530E-1,4.755011902E0,4.886394995E0
2.413016709E0,-8.878038025E-1,1.197509766E-3,5.040617981E0,5.118205414E0
2.423054708E0,-6.691085815E-1,3.914360046E-1,5.523663483E0,5.577794072E0
2.433091208E0,-4.465214539E-1,5.158273315E-1,5.974376221E0,6.013204676E0
2.443128209E0,-3.441343689E-1,5.391787720E-1,6.446793823E0,6.478448334E0
2.453165208E0,-2.591111755E-1,4.659809875E-1,7.320975952E0,7.340365507E0
2.463202208E0,-3.362008667E-1,9.220825195E-2,8.313262482E0,8.320568879E0
2.473239209E0,-4.945715332E-1,-4.397854614E-1,9.154363403E0,9.178255911E0
2.483276209E0,-6.902146912E-1,-1.100212097E0,9.767189026E0,9.853164184E0
2.493313208E0,-9.815089417E-1,-1.667083282E0,1.014919464E1,1.033192520E1
2.503350209E0,-1.204245758E0,-1.968855743E0,1.036684204E1,1.062064097E1
2.513387209E0,-1.258882141E0,-2.043849792E0,1.037447617E1,1.064856150E1
2.523425208E0,-1.256337433E0,-1.941163330E0,1.053434372E1,1.078512385E1
2.533462209E0,-1.280437317E0,-1.797013092E0,1.081336349E1,1.103619526E1
2.543499208E0,-1.313219147E0,-1.704355774E0,1.117875366E1,1.138393195E1
2.553536208E0,-1.250948639E0,-1.672771454E0,1.162317947E1,1.180937500E1
2.563573209E0,-1.137334900E0,-1.610650635E0,1.208781326E1,1.224756938E1
2.573610208E0,-9.822573853E-1,-1.528321838E0,1.246278351E1,1.259450555E1
2.583647208E0,-8.936416626E-1,-1.493743744E0,1.262010635E1,1.273958203E1
2.593684209E0,-7.851173401E-1,-1.517095184E0,1.254211853E1,1.265791153E1
2.603721208E0,-6.789880371E-1,-1.617386627E0,1.213616272E1,1.226227588E1
2.613758208E0,-6.312373352E-1,-1.573527832E0,1.127620102E1,1.140294523E1
2.623796209E0,-6.191125488E-1,-1.423988800E0,1.033540741E1,1.045139659E1
2.633833208E0,-5.287005615E-1,-1.361418915E0,9.601782990E0,9.712220257E0
2.643870208E0,-4.661306763E-1,-1.353784790E0,8.977581024E0,9.091038011E0
2.653907209E0,-4.671784973E-1,-1.339863739E0,8.470136261E0,8.588172033E0
2.663944208E0,-5.489085388E-1,-1.292113037E0,8.159232788E0,8.279126547E0
2.673981208E0,-6.743476868E-1,-1.168021088E0,8.051606598E0,8.163785082E0
2.684018209E0,-8.246351624E-1,-1.070573730E0,8.011490021E0,8.124661446E0
2.694055208E0,-9.478289795E-1,-1.037941589E0,7.995323639E0,8.117937091E0
2.704092208E0,-1.057850189E0,-1.012344818E0,7.930209045E0,8.064248543E0
2.714129209E0,-1.279988251E0,-9.892927551E-1,7.846233673E0,8.011270369E0
2.724167208E0,-1.595232697E0,-9.608518982E-1,7.806865540E0,8.025905138E0
2.734204208E0,-2.217488708E0,-9.370513916E-1,7.804171143E0,8.167031817E0
2.744241209E0,-2.761307831E0,-8.930429077E-1,8.056845703E0,8.563592077E0
2.754278208E0,-3.079995117E0,-9.226812744E-1,8.509654083E0,9.096808411E0
2.764315208E0,-3.262465668E0,-1.102158051E0,8.871302032E0,9.516219541E0
2.774352209E0,-2.936293945E0,-1.297052765E0,9.073681183E0,9.624752372E0
2.784389208E0,-2.249522095E0,-1.469494171E0,9.194030914E0,9.578620320E0
2.794426208E0,-1.405427399E0,-1.542242889E0,9.448352051E0,9.676006189E0
2.804463209E0,-5.294490051E-1,-1.549427948E0,9.686057739E0,9.823479920E0
2.814501208E0,1.631607056E-1,-1.614991608E0,9.843380585E0,9.976319995E0
2.824538209E0,5.769003296E-1,-1.725761261E0,9.904453583E0,1.007021681E1
2.834575209E0,5.996530151E-1,-1.787582703E0,9.901908875E0,1.007982316E1
2.844612208E0,2.441423035E-1,-1.786385193E0,9.827962646E0,9.991978148E0
2.854649208E0,-2.254312134E-1,-1.731299744E0,9.654174042E0,9.810774407E0
2.864686209E0,-7.092251587E-1,-1.702110443E0,9.524393921E0,9.701250427E0
2.874723208E0,-1.012943573E0,-1.722468109E0,9.591903534E0,9.797834683E0
2.884760208E0,-1.051413574E0,-1.751208344E0,9.862540741E0,1.007183752E1
2.894797209E0,-9.874964905E-1,-1.786534882E0,1.004141876E1,1.024680179E1
2.904834208E0,-1.023571472E0,-1.701511688E0,1.017179764E1,1.036379794E1
2.914872209E0,-1.024170227E0,-1.591340790E0,1.011985565E1,1.029527895E1
2.924909208E0,-1.166075134E0,-1.533560944E0,9.926008759E0,1.011124079E1
2.934946208E0,-1.301693115E0,-1.457818451E0,9.662556610E0,9.858227013E0
2.944983209E0,-1.428629150E0,-1.321302338E0,9.347162476E0,9.547579141E0
2.955020209E0,-1.419198761E0,-1.236129456E0,9.040300598E0,9.234131040E0
2.965057208E0,-1.181792450E0,-1.246158600E0,8.826694794E0,8.992223620E0
2.975094208E0,-6.965016174E-1,-1.396895142E0,8.722511444E0,8.861074226E0
2.985131209E0,-1.248403931E-1,-1.569037170E0,8.833131409E0,8.972272469E0
2.995168208E0,1.086740112E-1,-1.667532349E0,9.374555511E0,9.522329821E0
3.005205208E0,-1.213975525E-1,-1.613794098E0,1.003378464E1,1.016345920E1
3.015243208E0,-7.837701416E-1,-1.463955688E0,1.041399399E1,1.054555511E1
3.025280208E0,-1.578617249E0,-1.303040314E0,1.064316742E1,1.083821753E1
3.035317209E0,-2.270777893E0,-1.201401672E0,1.069945038E1,1.100354655E1
3.045354208E0,-2.645299072E0,-1.119072876E0,1.041743683E1,1.080615201E1
3.055391208E0,-2.762355652E0,-8.834628296E-1,1.002540207E1,1.043646501E1
3.065428209E0,-2.771037598E0,-7.589218140E-1,9.722731476E0,1.013834893E1
3.075465209E0,-2.820883942E0,-9.404942322E-1,9.577234039E0,1.002822654E1
3.085502208E0,-2.940036163E0,-1.287622375E0,9.576186218E0,1.009975874E1
3.095539209E0,-3.086731110E0,-1.548978882E0,9.551487579E0,1.015668054E1
3.105576209E0,-3.247945862E0,-1.628164215E0,9.414522400E0,1.009124884E1
3.115614208E0,-3.497626648E0,-1.618883514E0,9.351054382E0,1.011416799E1
3.125651209E0,-3.713028717E0,-1.514700165E0,9.460626526E0,1.027542472E1
3.135688208E0,-3.700305176E0,-1.389710083E0,9.683662720E0,1.045929616E1
3.145725208E0,-3.563040619E0,-1.291813660E0,9.951306152E0,1.064859311E1
3.155762209E0,-3.406466217E0,-1.237626343E0,1.013856674E1,1.076690608E1
3.165799208E0,-3.293900299E0,-1.256786499E0,1.012898666E1,1.072500174E1
3.175836208E0,-3.280128937E0,-1.204994202E0,1.002944366E1,1.062078138E1
3.185873209E0,-3.383863220E0,-1.121767273E0,9.866881714E0,1.049115088E1
3.195910209E0,-3.572620697E0,-1.040336609E0,9.727222137E0,1.041464207E1
3.205947208E0,-3.809727631E0,-9.416917419E-1,9.640103302E0,1.040828514E1
3.215985209E0,-3.970643005E0,-8.849597168E-1,9.658365326E0,1.048013265E1
