"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711386013283000E9,"2024-03-25 13:00:13.283 UTC-04:00"
"PAUSE",2.584956479583343E2,1.711386271776000E9,"2024-03-25 13:04:31.776 UTC-04:00"
"START",2.584956479583343E2,1.711386272381000E9,"2024-03-25 13:04:32.381 UTC-04:00"
"PAUSE",3.004712888750073E2,1.711386314356000E9,"2024-03-25 13:05:14.356 UTC-04:00"
