"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.407177083E-1,-2.097288666E0,-4.256249084E0,4.750820618E0,6.714504640E0
6.506597083E-1,-2.658172302E0,-4.618046722E0,4.995861053E0,7.304167522E0
6.606007083E-1,-3.679199066E0,-4.180207214E0,4.910388794E0,7.424456629E0
6.705417083E-1,-4.778812408E0,-3.593726807E0,5.405708771E0,8.060620802E0
6.804827084E-1,-5.623805237E0,-2.807861023E0,5.752836914E0,8.520938999E0
6.904247083E-1,-6.448889465E0,-2.367776184E0,6.067632294E0,9.165735161E0
7.003657084E-1,-8.284522247E0,-2.931803284E0,6.672524414E0,1.103409994E1
7.103067084E-1,-1.103400467E1,-4.007915497E0,7.946375427E0,1.417594893E1
7.202487084E-1,-1.198841995E1,-4.285139008E0,8.962462463E0,1.556953316E1
7.301897084E-1,-1.397179550E1,-5.404062195E0,1.120120697E1,1.870513286E1
7.401307083E-1,-1.847098938E1,-6.950196991E0,1.263477585E1,2.343331491E1
7.500717083E-1,-2.111404312E1,-7.769593048E0,1.228585144E1,2.563418691E1
7.600137084E-1,-2.335293732E1,-7.780969391E0,1.085168381E1,2.690097038E1
7.699547083E-1,-2.550650894E1,-5.551655273E0,7.214247894E0,2.708224967E1
7.798957083E-1,-2.671419754E1,-3.637286224E0,5.854924622E0,2.758909827E1
7.898377083E-1,-2.850058273E1,-2.794688416E0,7.011569366E0,2.948314102E1
7.997787083E-1,-2.949271957E1,-2.392175446E0,8.558302917E0,3.080239536E1
8.097197083E-1,-2.905981979E1,-1.528022461E0,9.919572144E0,3.074420093E1
8.196617083E-1,-2.852887390E1,-4.715194702E-2,1.104373444E1,3.059187702E1
8.296027083E-1,-2.775887512E1,1.348096619E0,1.170251450E1,3.015495578E1
8.395437083E-1,-2.735785904E1,2.865491180E0,1.058269318E1,2.947298570E1
8.494847083E-1,-2.618504791E1,5.145100708E0,8.879085846E0,2.812413485E1
8.594267083E-1,-2.382580399E1,6.856042786E0,7.585924988E0,2.592721574E1
8.693677083E-1,-2.158137131E1,7.540269928E0,8.254734192E0,2.430538818E1
8.793087083E-1,-1.714220261E1,7.899672546E0,8.743318176E0,2.080157564E1
8.892507083E-1,-1.212718140E1,8.641230469E0,8.306077423E0,1.705081566E1
8.991917083E-1,-7.117698669E0,8.959169312E0,6.954987030E0,1.339030223E1
9.091327083E-1,-3.777694244E0,8.450527039E0,5.381459198E0,1.070712306E1
9.190747083E-1,-1.864672394E0,6.815776520E0,5.775739288E0,9.126389047E0
9.290157083E-1,2.303110657E0,2.979853363E0,1.287846909E1,1.341785418E1
9.389567083E-1,5.667065277E0,-3.185226288E0,1.723261459E1,1.841804281E1
9.488977084E-1,6.226152649E0,-6.821165314E0,1.410681473E1,1.686106446E1
9.588397083E-1,4.451742554E0,-5.345084839E0,9.123228149E0,1.147262985E1
9.687807084E-1,5.196593628E0,-2.881058807E0,3.808530121E0,7.057619065E0
9.787217084E-1,7.054080963E0,-3.325035553E0,6.516698456E0,1.016283811E1
9.886637084E-1,2.698887634E0,7.035369873E-3,-3.836821289E0,4.690974479E0
9.986047084E-1,4.088148651E0,1.859732666E0,-4.713548126E0,6.510691278E0
1.008545708E0,1.676962738E0,2.144141235E0,-1.325493622E0,3.027619362E0
1.018487708E0,-2.469863892E-2,1.503323822E0,-2.744692383E0,3.129525333E0
1.028428708E0,-7.050338745E-2,7.852670288E-1,-1.215023346E0,1.448411808E0
1.038369708E0,-1.098715210E0,2.127076721E-1,-5.553451538E-2,1.120492637E0
1.048310708E0,-1.919757843E0,-3.442840576E-2,7.062313843E-1,2.045829479E0
1.058252708E0,-3.065774689E0,-3.445834351E-1,2.867886200E0,4.212182741E0
1.068193708E0,-2.721939697E0,-2.649490356E-2,2.437830505E0,3.654131260E0
1.078134708E0,6.956034851E-1,8.970845032E-1,1.510508881E0,1.889513666E0
1.088076708E0,2.946921844E0,1.628912659E0,1.481918335E-1,3.370410305E0
1.098017708E0,6.307882690E-1,1.922452240E0,-1.059796143E-1,2.026067159E0
1.107958708E0,-2.695145416E0,9.845027161E-1,1.148711243E0,3.090726764E0
1.117900708E0,-4.596940613E0,-4.745132446E-1,3.473526764E0,5.781212156E0
1.127841708E0,-8.254584503E0,-1.850302277E0,4.870421906E0,9.761290559E0
1.137782708E0,-1.418345535E1,-3.962859192E0,5.050198059E0,1.556853105E1
1.147723708E0,-2.159768738E1,-8.368647308E0,4.249363403E0,2.354891605E1
1.157665708E0,-2.692136673E1,-1.423913956E1,-2.347119141E-1,3.045600387E1
1.167606708E0,-2.710668137E1,-1.515194138E1,-1.142933258E1,3.309052954E1
1.177547708E0,-3.659604813E1,-1.428389648E1,-1.164503403E1,4.097447077E1
1.187489708E0,-3.860517014E1,-1.255723709E1,-5.404211884E0,4.095422897E1
1.197430708E0,-3.577440674E1,-7.765401764E0,-6.183491364E0,3.712607180E1
1.207371708E0,-3.422273346E1,-4.409230957E0,-3.621419220E0,3.469512185E1
1.217313708E0,-3.285158478E1,-2.255060577E0,-1.883233795E0,3.298269986E1
1.227254708E0,-2.945065704E1,-1.815275116E0,-5.863307190E-1,2.951237381E1
1.237195708E0,-2.594345032E1,-2.785707092E0,1.851649475E0,2.615819918E1
1.247136708E0,-2.251453079E1,-3.070714417E0,2.680326233E0,2.288050551E1
1.257078708E0,-1.649869080E1,-2.277513885E0,2.527494049E0,1.684583312E1
1.267019708E0,-1.027268784E1,-1.240470428E0,3.138224030E0,1.081273935E1
1.276960708E0,-5.859564972E0,-9.514215088E-1,3.573518829E0,6.928906218E0
1.286902708E0,-3.137475586E0,-1.180145874E0,2.977608032E0,4.483597543E0
1.296843708E0,-7.050338745E-1,-1.158590698E0,2.330354004E0,2.696285399E0
1.306784708E0,1.139280853E0,-1.227597198E0,2.345322876E0,2.881925595E0
1.316726708E0,2.390229492E0,-1.813778229E0,2.970722351E0,4.222342925E0
1.326667708E0,3.692371674E0,-2.570305023E0,3.716920624E0,5.835715501E0
1.336608708E0,5.373675385E0,-3.304528198E0,4.748425598E0,7.895811511E0
1.346550708E0,7.096742249E0,-4.276007996E0,5.457351379E0,9.921223664E0
1.356491708E0,7.984246674E0,-5.147944794E0,4.871170349E0,1.067604005E1
1.366432708E0,8.854387207E0,-5.820047150E0,3.619323578E0,1.119699177E1
1.376373708E0,9.330846405E0,-5.536536713E0,2.431842957E0,1.111898348E1
1.386315708E0,9.112899628E0,-3.903881836E0,1.203796692E0,9.986709142E0
1.396256708E0,7.763156433E0,-2.018253021E0,-1.362167358E-2,8.021229869E0
