Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),label
0.780741625,-1.041234741,4.055067444,7.981252899,9.01266551,0.0
0.790682625,-1.162183228,4.091890869,7.790998535,8.876592754,0.0
0.800623625,-1.277144165,4.123924255,7.627538452,8.764541706,0.0
0.810565625,-1.381477203,4.14562912,7.585775299,8.7543536,0.0
0.820506625,-1.513502655,4.179159393,7.645052032,8.843239457,0.0
0.830447625,-1.601519623,4.198020172,7.770790558,8.97627007,0.0
0.840388625,-1.616638184,4.192182312,7.936046906,9.119690348,0.0
0.850329625,-1.513802032,4.157155151,8.191864929,9.310219469,0.0
0.860270625,-1.294208679,4.09877655,8.402776337,9.438304693,0.0
0.870212625,-1.04722229,4.038451996,8.513845367,9.481103944,0.0
0.880153625,-0.9042695618,3.956272888,8.482111359,9.402978874,0.0
0.890094625,-0.8867559814,3.885769501,8.331674194,9.235926357,0.0
0.900035625,-1.06473587,3.833977203,8.154143372,9.07320769,0.0
0.909976625,-1.404828644,3.808230743,8.035140839,9.002202687,0.0
0.919918625,-1.77620636,3.752696228,8.045319672,9.053441701,0.0
0.929859625,-2.029180298,3.707639923,8.17659668,9.204395675,0.0
0.939800625,-2.172582092,3.721710663,8.444389801,9.480451588,0.0
0.949741625,-2.066452789,3.733087006,8.620723114,9.618889371,0.0
0.959682625,-1.784588928,3.702700195,8.681646423,9.605505244,0.0
0.969624625,-1.508862305,3.665577393,8.688532104,9.550063518,0.0
0.979565625,-1.337618408,3.739224243,8.783434753,9.639488939,0.0
0.989506625,-1.229543152,3.855083313,9.007668457,9.874792896,0.0
0.999447625,-1.116977234,4.017495575,9.294771423,10.18728053,0.0
1.009388625,-1.053808594,4.159849548,9.546098785,10.46627263,0.0
1.019330625,-1.063388672,4.202061768,9.774374084,10.69235743,0.0
1.029271625,-1.096619568,4.180955658,9.908195801,10.8099634,0.0
1.039212625,-1.059496765,4.171225891,9.938582611,10.83037779,0.0
1.049153625,-0.9589059448,4.144730988,9.86149292,10.73998781,0.0
1.059094625,-0.8786727905,4.02153717,9.682315521,10.52102946,0.0
1.069036625,-0.8550219727,3.827989655,9.463919678,10.24452747,0.0
1.078977625,-0.9262738037,3.624712372,9.118138733,9.855809297,0.0
1.088918625,-1.124012604,3.523223419,8.804690552,9.549821114,0.0
1.098859625,-1.364113312,3.509901123,8.601113892,9.389322191,0.0
1.108800625,-1.579365692,3.461851044,8.461903381,9.278071862,0.0
1.118741625,-1.703757019,3.451223145,8.465795288,9.299646178,0.0
1.128683625,-1.703457642,3.460354156,8.672216034,9.491214346,0.0
1.138624625,-1.601519623,3.390748901,8.889863434,9.648404795,0.0
1.148565625,-1.407373352,3.278332672,9.07398056,9.750142977,0.0
1.158506625,-1.157991943,3.139720917,9.253756714,9.840264534,0.0
1.168447625,-0.9177415466,3.029849396,9.397607574,9.916514762,0.0
1.178389625,-0.7945477295,2.970572662,9.589807892,10.07075089,0.0
1.188330625,-0.7411088562,2.84094223,9.943522339,10.36792321,0.0
1.198271625,-0.6827302551,2.708617401,10.34828064,10.71865855,0.0
1.208212625,-0.4114942932,2.53093689,10.75423645,11.05570309,0.0
1.218153625,0.02230361938,2.341281281,10.96110626,11.2083873,0.0
1.228095625,0.4173321533,2.123783569,10.93625793,11.14837927,0.0
1.238036625,0.7402107239,1.951192474,10.68118835,10.88314516,0.0
