"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.515056250E-1,-1.714235229E0,3.394790497E0,9.822723541E0,1.053323800E1
6.614476250E-1,-1.622476044E0,3.230432281E0,9.561367035E0,1.022193039E1
6.713886250E-1,-1.594484253E0,3.085832977E0,9.251062317E0,9.881644559E0
6.813296250E-1,-1.643731842E0,3.090024261E0,8.971144409E0,9.629721508E0
6.912706250E-1,-1.733844452E0,3.225342865E0,8.845555573E0,9.573552453E0
7.012116250E-1,-1.791624298E0,3.391796722E0,8.832233276E0,9.629254762E0
7.111536250E-1,-1.804647217E0,3.567082214E0,8.872200165E0,9.731226175E0
7.210946250E-1,-1.719624023E0,3.668421478E0,8.921148376E0,9.798025887E0
7.310356250E-1,-1.548380127E0,3.714375916E0,8.912316742E0,9.778724823E0
7.409766250E-1,-1.354383545E0,3.782633972E0,8.866811371E0,9.734629856E0
7.509176250E-1,-1.174607391E0,3.873794403E0,8.703950043E0,9.599204756E0
7.608596250E-1,-1.033001862E0,3.952830048E0,8.510402527E0,9.440281214E0
7.708006250E-1,-9.961784363E-1,4.010460205E0,8.249345398E0,9.226476144E0
7.807416250E-1,-1.041234741E0,4.055067444E0,7.981252899E0,9.012665510E0
7.906826250E-1,-1.162183228E0,4.091890869E0,7.790998535E0,8.876592754E0
8.006236250E-1,-1.277144165E0,4.123924255E0,7.627538452E0,8.764541706E0
8.105656250E-1,-1.381477203E0,4.145629120E0,7.585775299E0,8.754353600E0
8.205066250E-1,-1.513502655E0,4.179159393E0,7.645052032E0,8.843239457E0
8.304476250E-1,-1.601519623E0,4.198020172E0,7.770790558E0,8.976270070E0
8.403886250E-1,-1.616638184E0,4.192182312E0,7.936046906E0,9.119690348E0
8.503296250E-1,-1.513802032E0,4.157155151E0,8.191864929E0,9.310219469E0
8.602706250E-1,-1.294208679E0,4.098776550E0,8.402776337E0,9.438304693E0
8.702126250E-1,-1.047222290E0,4.038451996E0,8.513845367E0,9.481103944E0
8.801536250E-1,-9.042695618E-1,3.956272888E0,8.482111359E0,9.402978874E0
8.900946250E-1,-8.867559814E-1,3.885769501E0,8.331674194E0,9.235926357E0
9.000356250E-1,-1.064735870E0,3.833977203E0,8.154143372E0,9.073207690E0
9.099766250E-1,-1.404828644E0,3.808230743E0,8.035140839E0,9.002202687E0
9.199186250E-1,-1.776206360E0,3.752696228E0,8.045319672E0,9.053441701E0
9.298596250E-1,-2.029180298E0,3.707639923E0,8.176596680E0,9.204395675E0
9.398006250E-1,-2.172582092E0,3.721710663E0,8.444389801E0,9.480451588E0
9.497416250E-1,-2.066452789E0,3.733087006E0,8.620723114E0,9.618889371E0
9.596826250E-1,-1.784588928E0,3.702700195E0,8.681646423E0,9.605505244E0
9.696246250E-1,-1.508862305E0,3.665577393E0,8.688532104E0,9.550063518E0
9.795656250E-1,-1.337618408E0,3.739224243E0,8.783434753E0,9.639488939E0
9.895066250E-1,-1.229543152E0,3.855083313E0,9.007668457E0,9.874792896E0
9.994476250E-1,-1.116977234E0,4.017495575E0,9.294771423E0,1.018728053E1
1.009388625E0,-1.053808594E0,4.159849548E0,9.546098785E0,1.046627263E1
1.019330625E0,-1.063388672E0,4.202061768E0,9.774374084E0,1.069235743E1
1.029271625E0,-1.096619568E0,4.180955658E0,9.908195801E0,1.080996340E1
1.039212625E0,-1.059496765E0,4.171225891E0,9.938582611E0,1.083037779E1
1.049153625E0,-9.589059448E-1,4.144730988E0,9.861492920E0,1.073998781E1
1.059094625E0,-8.786727905E-1,4.021537170E0,9.682315521E0,1.052102946E1
1.069036625E0,-8.550219727E-1,3.827989655E0,9.463919678E0,1.024452747E1
1.078977625E0,-9.262738037E-1,3.624712372E0,9.118138733E0,9.855809297E0
1.088918625E0,-1.124012604E0,3.523223419E0,8.804690552E0,9.549821114E0
1.098859625E0,-1.364113312E0,3.509901123E0,8.601113892E0,9.389322191E0
1.108800625E0,-1.579365692E0,3.461851044E0,8.461903381E0,9.278071862E0
1.118741625E0,-1.703757019E0,3.451223145E0,8.465795288E0,9.299646178E0
1.128683625E0,-1.703457642E0,3.460354156E0,8.672216034E0,9.491214346E0
1.138624625E0,-1.601519623E0,3.390748901E0,8.889863434E0,9.648404795E0
1.148565625E0,-1.407373352E0,3.278332672E0,9.073980560E0,9.750142977E0
1.158506625E0,-1.157991943E0,3.139720917E0,9.253756714E0,9.840264534E0
1.168447625E0,-9.177415466E-1,3.029849396E0,9.397607574E0,9.916514762E0
1.178389625E0,-7.945477295E-1,2.970572662E0,9.589807892E0,1.007075089E1
1.188330625E0,-7.411088562E-1,2.840942230E0,9.943522339E0,1.036792321E1
1.198271625E0,-6.827302551E-1,2.708617401E0,1.034828064E1,1.071865855E1
1.208212625E0,-4.114942932E-1,2.530936890E0,1.075423645E1,1.105570309E1
1.218153625E0,2.230361938E-2,2.341281281E0,1.096110626E1,1.120838730E1
1.228095625E0,4.173321533E-1,2.123783569E0,1.093625793E1,1.114837927E1
1.238036625E0,7.402107239E-1,1.951192474E0,1.068118835E1,1.088314516E1
1.247977625E0,9.220825195E-1,1.824256439E0,1.032956955E1,1.052986965E1
1.257918625E0,1.037791901E0,1.753154297E0,1.002809647E1,1.023295074E1
1.267859625E0,1.069076843E0,1.745071106E0,9.715097351E0,9.928308768E0
1.277800625E0,9.831555176E-1,1.757195892E0,9.372759247E0,9.586602530E0
1.287742625E0,8.005352783E-1,1.798210602E0,9.229806519E0,9.437359083E0
1.297683625E0,5.948629761E-1,1.837129669E0,9.295519867E0,9.493976879E0
1.307624625E0,4.447251892E-1,1.803599396E0,9.692494354E0,9.868900551E0
1.317565625E0,6.306385803E-1,1.797761536E0,9.994865570E0,1.017482134E1
1.327506625E0,9.815089417E-1,1.779349823E0,1.016745667E1,1.036853995E1
1.337448625E0,1.454225922E0,1.806742859E0,1.023571472E1,1.049518693E1
1.347389625E0,1.930834808E0,1.878144379E0,1.004471191E1,1.039960513E1
1.357330625E0,2.260898438E0,1.971400452E0,9.731862488E0,1.018367463E1
1.367271625E0,2.264191589E0,2.294428711E0,9.410630493E0,9.947408353E0
1.377212625E0,2.086511078E0,2.401306458E0,9.117539978E0,9.656569600E0
1.387154625E0,1.809886322E0,1.760938110E0,8.488098907E0,8.855756015E0
1.397095625E0,1.450184326E0,1.836381226E0,7.971223755E0,8.307571169E0
1.407036625E0,1.350791016E0,2.558928680E0,8.747659149E0,9.213809904E0
1.416977625E0,1.876946869E0,2.818189545E0,9.436826019E0,1.002590680E1
1.426918625E0,2.307002563E0,2.305954742E0,9.488468628E0,1.003348020E1
1.436859625E0,2.170486450E0,1.466799774E0,9.208401031E0,9.573774729E0
1.446801625E0,1.362466736E0,8.869056702E-1,8.960217133E0,9.106503629E0
1.456742625E0,1.342707825E-1,9.446855164E-1,9.157207489E0,9.206785995E0
1.466683625E0,-9.592053223E-1,1.638642426E0,9.659712524E0,9.844555343E0
1.476624625E0,-1.646875305E0,2.417772217E0,1.014919464E1,1.056238480E1
1.486565625E0,-2.030826874E0,2.582429810E0,1.025771896E1,1.077097952E1
1.496507625E0,-2.059267731E0,2.145039368E0,9.812844086E0,1.025347193E1
1.506452208E0,-1.802252197E0,1.505269775E0,9.121581573E0,9.418980862E0
1.516393208E0,-1.648970947E0,9.725276184E-1,8.663234711E0,8.872234826E0
1.526334208E0,-1.755100250E0,6.509962463E-1,8.488847351E0,8.692796003E0
1.536275208E0,-2.119143219E0,5.842350769E-1,8.517138519E0,8.796234829E0
1.546216208E0,-2.597398682E0,6.462062073E-1,8.712332611E0,9.114208792E0
1.556158208E0,-2.833457794E0,6.158193970E-1,8.771609344E0,9.238443976E0
1.566099208E0,-2.820135498E0,4.152365112E-1,8.879235535E0,9.325578227E0
1.576040208E0,-2.683170319E0,3.532653809E-2,8.991502075E0,9.383376817E0
1.585981208E0,-2.472109222E0,-3.876937866E-1,8.923094330E0,9.267321236E0
1.595922208E0,-2.361638947E0,-7.295828247E-1,9.025331726E0,9.357683601E0
1.605864208E0,-2.298619995E0,-9.857002258E-1,9.683213654E0,1.000099422E1
1.615805208E0,-2.209106140E0,-1.043779449E0,1.111154343E1,1.137699533E1
1.625746208E0,-1.847757568E0,-7.825726318E-1,1.176104279E1,1.193099976E1
1.635687208E0,-2.097737732E0,4.550537109E-2,1.121692429E1,1.141148390E1
1.645628208E0,-2.208208008E0,2.472857666E-1,1.032627640E1,1.056263779E1
1.655570208E0,-1.758094025E0,-1.664538574E-1,1.018257523E1,1.033457497E1
1.665511208E0,-8.402027893E-1,-4.858895874E-1,1.122306152E1,1.126495181E1
1.675452208E0,9.086105347E-1,-6.599775696E-1,1.254960297E1,1.259974913E1
1.685393208E0,2.388433228E0,-9.496252441E-1,1.247775238E1,1.273972943E1
1.695334208E0,2.920726318E0,-1.124461670E0,1.249825974E1,1.288415898E1
1.705276208E0,2.731819153E0,-8.384065247E-1,1.240245895E1,1.272740152E1
1.715217208E0,2.281106415E0,-2.817141724E-1,1.255843460E1,1.276703133E1
1.725158208E0,1.895957336E0,2.354603577E-1,1.279958313E1,1.294138416E1
1.735099208E0,1.597478027E0,5.918692017E-1,1.317111053E1,1.328082821E1
1.745040208E0,1.459015961E0,8.024812317E-1,1.339998459E1,1.350304746E1
1.754981208E0,1.083297272E0,7.783813477E-1,1.222313187E1,1.229570507E1
1.764923208E0,2.371069336E-1,6.409671021E-1,1.069885162E1,1.072065691E1
1.774864208E0,-7.328759766E-1,6.310876465E-1,9.096583557E0,9.147852821E0
1.784805208E0,-1.604214020E0,9.051676941E-1,7.729476471E0,7.945919562E0
1.794746208E0,-2.003583527E0,1.304986267E0,7.521858215E0,7.892761691E0
1.804687208E0,-1.614692230E0,1.246907043E0,8.164022827E0,8.415062501E0
1.814629208E0,-8.960366821E-1,1.053658905E0,8.874744873E0,8.981880393E0
1.824570208E0,-4.743635559E-1,8.051756287E-1,9.139544220E0,9.187197458E0
1.834511208E0,-4.963677979E-1,7.942483521E-1,9.264833679E0,9.312054260E0
1.844452208E0,-5.120851135E-1,9.032217407E-1,9.660011902E0,9.715650808E0
1.854393208E0,-2.984793091E-1,9.725276184E-1,1.019410126E1,1.024473525E1
1.864334208E0,5.403762817E-2,1.074465637E0,1.077279785E1,1.082638305E1
1.874276208E0,3.270698547E-1,8.659492493E-1,1.133038834E1,1.136813717E1
1.884217208E0,6.066883850E-1,5.388793945E-1,1.141690842E1,1.144570922E1
1.894158208E0,9.472302246E-1,3.650907898E-1,1.110480743E1,1.115111136E1
1.904099208E0,1.366358643E0,4.936734009E-1,1.057910065E1,1.067839032E1
1.914040208E0,2.018103333E0,1.055604858E0,1.065214874E1,1.089290207E1
1.923982208E0,2.894231415E0,1.740879822E0,1.136915771E1,1.186022703E1
1.933923208E0,3.204536133E0,2.358345795E0,1.206311462E1,1.270234550E1
1.943864208E0,2.985990601E0,2.861748962E0,1.202674026E1,1.271802769E1
1.953805208E0,2.742297363E0,3.037184143E0,1.100750977E1,1.174350687E1
1.963746208E0,2.349065094E0,2.938688965E0,9.977651367E0,1.066337313E1
1.973687208E0,2.041305084E0,2.676284637E0,9.016051025E0,9.623855880E0
1.983629208E0,1.855092316E0,2.287243652E0,8.445437622E0,8.944175068E0
1.993570208E0,2.081122284E0,1.820065155E0,8.220156097E0,8.672639356E0
2.003511208E0,2.489622803E0,1.447190552E0,8.186027069E0,8.677765920E0
2.013452208E0,2.939736786E0,1.304836578E0,8.595425720E0,9.177472102E0
2.023393208E0,3.350632324E0,1.550026703E0,9.249415741E0,9.958966377E0
2.033335208E0,3.496429138E0,2.141895905E0,1.037043457E1,1.115162087E1
2.043276208E0,3.613336029E0,2.788700867E0,1.083162552E1,1.175402744E1
2.053217208E0,3.378175049E0,3.430117035E0,1.054512131E1,1.159212461E1
2.063158208E0,2.877166901E0,4.064797211E0,1.029618896E1,1.143731494E1
2.073099208E0,2.716700592E0,4.200564880E0,9.954000549E0,1.114034714E1
2.083040208E0,2.769241333E0,3.775748291E0,9.402996368E0,1.050434736E1
2.092982208E0,3.312910767E0,3.268004150E0,9.194030914E0,1.030463164E1
2.102923208E0,4.202211456E0,2.870730286E0,9.315129089E0,1.061467397E1
2.112864208E0,4.426594849E0,2.723436584E0,9.176367645E0,1.054597421E1
2.122805208E0,3.954326935E0,2.962639160E0,8.938661957E0,1.021340344E1
2.132746208E0,3.521726532E0,3.474424896E0,8.793912964E0,1.008995002E1
2.142688208E0,3.447630615E0,3.803889771E0,8.716224518E0,1.011574536E1
2.152629208E0,3.615731049E0,3.838617554E0,8.509354706E0,1.001087475E1
2.162570208E0,3.991749115E0,3.799997864E0,8.141868896E0,9.831788947E0
2.172511208E0,4.470453644E0,3.870351563E0,7.695946198E0,9.705264802E0
