"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.711295161553000E9,"2024-03-24 11:46:01.553 UTC-04:00"
"PAUSE",2.741633786250022E2,1.711295435716000E9,"2024-03-24 11:50:35.716 UTC-04:00"
"START",2.741633786250022E2,1.711295632662000E9,"2024-03-24 11:53:52.662 UTC-04:00"
"PAUSE",3.185121301250038E2,1.711295677011000E9,"2024-03-24 11:54:37.011 UTC-04:00"
"START",3.185121301250038E2,1.711295683821000E9,"2024-03-24 11:54:43.821 UTC-04:00"
"PAUSE",3.223505576250027E2,1.711295687659000E9,"2024-03-24 11:54:47.659 UTC-04:00"
